,metab_ids,0,hmdb
0,HMDB00754,31.030143826979984,HMDB00754
1,HMDB00277,26.07574315910911,HMDB00277
2,M.3141,23.993243726182513,
3,HMDB02712,23.96932746416932,HMDB02712
4,HMDB00729,23.116483743123172,HMDB00729
5,HMDB00336,20.830162293509684,HMDB00336
6,HMDB03736,20.82347194328352,HMDB03736
7,HMDB10318,20.731183537920657,HMDB10318
8,M.1585,19.698203710407352,
9,HMDB02759,19.335106080867654,HMDB02759
10,M.22185,19.275769356617094,
11,HMDB00063,19.090925670403468,HMDB00063
12,HMDB03072,19.016220935313367,HMDB03072
13,M.53,18.684123247280517,
14,HMDB01878,18.534719857575194,HMDB01878
15,HMDB00623,18.044853709967086,HMDB00623
16,M.33943,16.864450342192953,
17,HMDB01425,16.76957817724589,HMDB01425
18,HMDB11487,16.677680676441234,HMDB11487
19,HMDB00493,15.595787719680429,HMDB00493
20,M.59,15.179788895480087,
21,HMDB00695,15.117858673523545,HMDB00695
22,HMDB03231,15.1148328013042,HMDB03231
23,HMDB06294,15.109839190079123,HMDB06294
24,HMDB00866,14.968700312632404,HMDB00866
25,M.15716,14.415888700236767,
26,HMDB03357,14.33391742560771,HMDB03357
27,HMDB01325,13.96250267532377,HMDB01325
28,HMDB00686,13.754305790296721,HMDB00686
29,HMDB00169,13.586084822988985,HMDB00169
30,HMDB13678,13.457150766593971,HMDB13678
31,HMDB01434,13.358739387545748,HMDB01434
32,HMDB06695,13.348225906062932,HMDB06695
33,HMDB62547,13.236710624595947,HMDB62547
34,HMDB11496,13.158244439280422,HMDB11496
35,HMDB03099,12.882101694230961,HMDB03099
36,M.46410,12.779333500510548,
37,HMDB02434,12.772800895846546,HMDB02434
38,HMDB02212,12.731721010497527,HMDB02212
39,HMDB00254,12.641441168820544,HMDB00254
40,HMDB01015,12.6297272811134,HMDB01015
41,HMDB62551,12.555198825374005,HMDB62551
42,HMDB04484,12.354465228503717,HMDB04484
43,M.32390,12.103045767874887,
44,HMDB00060,11.936426426503454,HMDB00060
45,HMDB01999,11.866651640255457,HMDB01999
46,HMDB00064,11.858638820848682,HMDB00064
47,"HMDB00138
",11.657073607894144,"HMDB00138
"
48,M.12017,11.624830179860833,
49,HMDB00759,11.291949621233838,HMDB00759
50,HMDB11741,11.209640733812055,HMDB11741
51,HMDB00594,11.183775876281144,HMDB00594
52,HMDB06344,10.723451254873574,HMDB06344
53,HMDB33433,10.560005410969348,HMDB33433
54,HMDB00211,10.452059491737042,HMDB00211
55,HMDB00946,10.416317278007972,HMDB00946
56,HMDB00291,9.940161745978708,HMDB00291
57,M.32675,9.904571056780355,
58,M.37097,9.762113609943082,
59,HMDB00707,9.569140211632071,HMDB00707
60,M.1417,8.836756599677482,
61,HMDB00912,8.783850034815973,HMDB00912
62,HMDB00517,8.700574507529844,HMDB00517
63,HMDB00991,8.699539679404218,HMDB00991
