seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.         0.02941176 0.02941176 0.14705882 0.14705882
 0.29411765 0.29411765 0.58823529 0.64705882 0.67647059 0.67647059
 0.70588235 0.70588235 0.79411765 0.85294118 0.88235294 0.94117647
 1.        ]","[0.         0.11111111 0.11111111 0.55555556 0.55555556 0.66666667
 0.66666667 0.77777778 0.77777778 0.77777778 0.77777778 0.88888889
 0.88888889 1.         1.         1.         1.         1.
 1.        ]",0.7843137254901962,"[0.27272727 0.25       0.25806452 0.23333333 0.24137931 0.25925926
 0.26923077 0.28       0.29166667 0.30434783 0.31818182 0.33333333
 0.35       0.36842105 0.38888889 0.41176471 0.375      0.4
 0.42857143 0.46153846 0.5        0.54545455 0.5        0.55555556
 0.625      0.71428571 0.83333333 0.8        0.75       0.66666667
 0.5        1.         1.        ]","[1.         0.88888889 0.88888889 0.77777778 0.77777778 0.77777778
 0.77777778 0.77777778 0.77777778 0.77777778 0.77777778 0.77777778
 0.77777778 0.77777778 0.77777778 0.77777778 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.55555556 0.55555556
 0.55555556 0.55555556 0.55555556 0.44444444 0.33333333 0.22222222
 0.11111111 0.11111111 0.        ]",0.615334560021467,0.7906976744186046,MRC
1,"[0.         0.         0.         0.03571429 0.03571429 0.25
 0.25       0.32142857 0.32142857 0.39285714 0.39285714 0.42857143
 0.42857143 0.57142857 0.57142857 0.82142857 0.89285714 1.        ]","[0.     0.0625 0.5625 0.5625 0.625  0.625  0.6875 0.6875 0.75   0.75
 0.8125 0.8125 0.9375 0.9375 1.     1.     1.     1.    ]",0.8482142857142858,"[0.5        0.48387097 0.5        0.51724138 0.53571429 0.55555556
 0.53846154 0.52       0.54166667 0.52173913 0.54545455 0.57142857
 0.55       0.57894737 0.61111111 0.58823529 0.625      0.66666667
 0.71428571 0.76923077 0.83333333 0.90909091 0.9        1.
 1.         1.         1.         1.         1.         1.
 1.         1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.875  0.8125 0.8125 0.75
 0.75   0.75   0.6875 0.6875 0.6875 0.625  0.625  0.625  0.625  0.625
 0.625  0.625  0.5625 0.5625 0.5    0.4375 0.375  0.3125 0.25   0.1875
 0.125  0.0625 0.    ]",0.826707147019647,0.6363636363636364,MRC
2,"[0.         0.         0.         0.06451613 0.06451613 0.12903226
 0.19354839 0.19354839 0.25806452 0.25806452 0.48387097 0.61290323
 0.67741935 0.74193548 0.80645161 0.87096774 1.        ]","[0.         0.09090909 0.27272727 0.27272727 0.36363636 0.36363636
 0.36363636 0.81818182 0.81818182 0.90909091 0.90909091 0.90909091
 0.90909091 1.         1.         1.         1.        ]",0.8181818181818182,"[0.32352941 0.32258065 0.33333333 0.34482759 0.37037037 0.4
 0.41666667 0.43478261 0.45454545 0.47619048 0.5        0.52631579
 0.55555556 0.52941176 0.5625     0.6        0.57142857 0.53846154
 0.5        0.45454545 0.4        0.5        0.57142857 0.66666667
 0.6        0.75       1.         1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.81818182 0.81818182 0.81818182 0.72727273 0.63636364
 0.54545455 0.45454545 0.36363636 0.36363636 0.36363636 0.36363636
 0.27272727 0.27272727 0.27272727 0.18181818 0.09090909 0.        ]",0.6554715634929539,0.7380952380952381,MRC
3,"[0.         0.         0.         0.02439024 0.02439024 0.04878049
 0.04878049 0.26829268 0.26829268 0.31707317 0.34146341 0.36585366
 0.36585366 0.3902439  0.41463415 0.41463415 0.46341463 0.46341463
 0.56097561 0.6097561  0.70731707 0.70731707 0.73170732 0.73170732
 1.        ]","[0.         0.07692308 0.15384615 0.15384615 0.23076923 0.23076923
 0.30769231 0.30769231 0.38461538 0.38461538 0.46153846 0.46153846
 0.53846154 0.61538462 0.61538462 0.69230769 0.69230769 0.76923077
 0.76923077 0.76923077 0.76923077 0.84615385 0.92307692 1.
 1.        ]",0.6575984990619137,"[0.30232558 0.28571429 0.275      0.25641026 0.26315789 0.27027027
 0.27777778 0.28571429 0.3030303  0.3125     0.32258065 0.33333333
 0.34482759 0.32142857 0.33333333 0.34615385 0.32       0.33333333
 0.31818182 0.28571429 0.3        0.27777778 0.29411765 0.3125
 0.26666667 0.28571429 0.30769231 0.33333333 0.36363636 0.4
 0.44444444 0.5        0.57142857 0.66666667 0.6        0.75
 0.66666667 1.         1.         1.        ]","[1.         0.92307692 0.84615385 0.76923077 0.76923077 0.76923077
 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077
 0.76923077 0.69230769 0.69230769 0.69230769 0.61538462 0.61538462
 0.53846154 0.46153846 0.46153846 0.38461538 0.38461538 0.38461538
 0.30769231 0.30769231 0.30769231 0.30769231 0.30769231 0.30769231
 0.30769231 0.30769231 0.30769231 0.30769231 0.23076923 0.23076923
 0.15384615 0.15384615 0.07692308 0.        ]",0.4795925475117074,0.7592592592592593,MRC
4,"[0.         0.         0.         0.21428571 0.26190476 0.26190476
 0.28571429 0.28571429 0.30952381 0.30952381 0.38095238 0.42857143
 0.45238095 0.45238095 0.52380952 0.57142857 0.61904762 0.66666667
 0.66666667 0.80952381 0.85714286 0.9047619  0.95238095 1.        ]","[0.         0.08333333 0.41666667 0.41666667 0.41666667 0.58333333
 0.58333333 0.66666667 0.66666667 0.75       0.75       0.83333333
 0.83333333 0.91666667 0.91666667 0.91666667 0.91666667 0.91666667
 1.         1.         1.         1.         1.         1.        ]",0.7797619047619048,"[0.3        0.28205128 0.28947368 0.2972973  0.31428571 0.32352941
 0.33333333 0.36666667 0.34482759 0.35714286 0.36       0.375
 0.39130435 0.40909091 0.38095238 0.4        0.36842105 0.38888889
 0.35294118 0.3125     0.35714286 0.38461538 0.41666667 0.45454545
 0.5        0.55555556 0.625      0.71428571 0.83333333 1.
 1.         1.         1.         1.         1.        ]","[1.         0.91666667 0.91666667 0.91666667 0.91666667 0.91666667
 0.91666667 0.91666667 0.83333333 0.83333333 0.75       0.75
 0.75       0.75       0.66666667 0.66666667 0.58333333 0.58333333
 0.5        0.41666667 0.41666667 0.41666667 0.41666667 0.41666667
 0.41666667 0.41666667 0.41666667 0.41666667 0.41666667 0.41666667
 0.33333333 0.25       0.16666667 0.08333333 0.        ]",0.6312275415216592,0.7777777777777778,MRC
5,"[0.         0.         0.         0.18421053 0.28947368 0.28947368
 0.34210526 0.36842105 0.39473684 0.39473684 0.47368421 0.47368421
 0.65789474 0.71052632 0.86842105 0.92105263 1.        ]",[0.  0.1 0.5 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 1.  1.  1.  1.  1.  1. ],0.8013157894736842,"[0.35714286 0.33333333 0.30769231 0.32       0.33333333 0.34782609
 0.31818182 0.33333333 0.31578947 0.33333333 0.35294118 0.3125
 0.35714286 0.41666667 0.45454545 0.5        0.55555556 0.625
 0.71428571 0.83333333 1.         1.         1.         1.
 1.         1.        ]","[1.  0.9 0.8 0.8 0.8 0.8 0.7 0.7 0.6 0.6 0.6 0.5 0.5 0.5 0.5 0.5 0.5 0.5
 0.5 0.5 0.5 0.4 0.3 0.2 0.1 0. ]",0.6724576787236634,0.7916666666666666,MRC
6,"[0.         0.         0.         0.02380952 0.02380952 0.04761905
 0.0952381  0.11904762 0.11904762 0.16666667 0.19047619 0.23809524
 0.30952381 0.30952381 0.33333333 0.38095238 0.4047619  0.54761905
 0.54761905 0.5952381  0.5952381  0.64285714 1.        ]","[0.         0.09090909 0.45454545 0.45454545 0.54545455 0.54545455
 0.54545455 0.54545455 0.72727273 0.72727273 0.72727273 0.72727273
 0.72727273 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182
 0.90909091 0.90909091 1.         1.         1.        ]",0.8441558441558441,"[0.30555556 0.28571429 0.29411765 0.3030303  0.28125    0.3
 0.32142857 0.34615385 0.36       0.39130435 0.40909091 0.38095238
 0.4        0.42105263 0.44444444 0.5        0.53333333 0.61538462
 0.58333333 0.54545455 0.6        0.75       0.85714286 0.83333333
 1.         1.         1.         1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182 0.72727273
 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273
 0.63636364 0.54545455 0.54545455 0.54545455 0.54545455 0.45454545
 0.45454545 0.36363636 0.27272727 0.18181818 0.09090909 0.        ]",0.7339579612306886,0.7924528301886793,MRC
7,"[0.         0.         0.         0.03030303 0.03030303 0.09090909
 0.09090909 0.12121212 0.12121212 0.27272727 0.27272727 0.36363636
 0.36363636 0.39393939 0.42424242 0.42424242 0.66666667 0.66666667
 0.72727273 0.78787879 1.         1.        ]","[0.         0.07142857 0.35714286 0.35714286 0.42857143 0.42857143
 0.5        0.5        0.57142857 0.57142857 0.64285714 0.64285714
 0.71428571 0.71428571 0.78571429 0.85714286 0.85714286 0.92857143
 0.92857143 0.92857143 0.92857143 1.        ]",0.7586580086580087,"[0.29787234 0.2826087  0.28888889 0.29545455 0.30232558 0.30952381
 0.31707317 0.325      0.33333333 0.35135135 0.36111111 0.37142857
 0.35294118 0.36363636 0.375      0.38709677 0.4        0.4137931
 0.42857143 0.44444444 0.46153846 0.44       0.43478261 0.45454545
 0.42857143 0.45       0.47368421 0.5        0.47058824 0.5
 0.53333333 0.57142857 0.61538462 0.66666667 0.63636364 0.7
 0.66666667 0.75       0.85714286 0.83333333 1.         1.
 1.         1.         1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.85714286 0.85714286 0.85714286 0.78571429 0.71428571 0.71428571
 0.64285714 0.64285714 0.64285714 0.64285714 0.57142857 0.57142857
 0.57142857 0.57142857 0.57142857 0.57142857 0.5        0.5
 0.42857143 0.42857143 0.42857143 0.35714286 0.35714286 0.28571429
 0.21428571 0.14285714 0.07142857 0.        ]",0.6963710251248244,0.7021276595744681,MRC
8,"[0.         0.         0.         0.02631579 0.02631579 0.05263158
 0.05263158 0.10526316 0.10526316 0.13157895 0.18421053 0.23684211
 0.23684211 0.28947368 0.34210526 0.34210526 0.36842105 0.36842105
 0.39473684 0.44736842 0.44736842 0.76315789 0.81578947 0.86842105
 0.92105263 1.        ]","[0.         0.07142857 0.21428571 0.28571429 0.42857143 0.42857143
 0.57142857 0.57142857 0.64285714 0.64285714 0.64285714 0.64285714
 0.71428571 0.71428571 0.71428571 0.78571429 0.78571429 0.92857143
 0.92857143 0.92857143 1.         1.         1.         1.
 1.         1.        ]",0.8543233082706767,"[0.4516129  0.43333333 0.46428571 0.48148148 0.46153846 0.44
 0.45833333 0.43478261 0.45454545 0.47619048 0.52631579 0.5
 0.52941176 0.5625     0.64285714 0.69230769 0.66666667 0.72727273
 0.8        0.77777778 0.75       0.85714286 0.83333333 0.8
 1.         1.         1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.85714286 0.78571429
 0.78571429 0.71428571 0.71428571 0.71428571 0.71428571 0.64285714
 0.64285714 0.64285714 0.64285714 0.64285714 0.57142857 0.57142857
 0.57142857 0.5        0.42857143 0.42857143 0.35714286 0.28571429
 0.21428571 0.14285714 0.07142857 0.        ]",0.724274544972459,0.7307692307692307,MRC
9,"[0.         0.         0.         0.18181818 0.21212121 0.3030303
 0.3030303  0.36363636 0.36363636 0.39393939 0.39393939 0.48484848
 0.54545455 0.57575758 0.63636364 0.63636364 0.93939394 1.        ]","[0.         0.09090909 0.54545455 0.54545455 0.63636364 0.63636364
 0.72727273 0.72727273 0.81818182 0.81818182 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 1.         1.         1.        ]",0.8278236914600551,"[0.34375    0.32258065 0.34482759 0.35714286 0.38461538 0.4
 0.41666667 0.43478261 0.40909091 0.42857143 0.4        0.44444444
 0.41176471 0.4375     0.46666667 0.5        0.5        0.54545455
 0.6        0.66666667 0.75       0.85714286 1.         1.
 1.         1.         1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.81818182 0.81818182 0.72727273 0.72727273
 0.63636364 0.63636364 0.63636364 0.63636364 0.54545455 0.54545455
 0.54545455 0.54545455 0.54545455 0.54545455 0.54545455 0.45454545
 0.36363636 0.27272727 0.18181818 0.09090909 0.        ]",0.7410498619737751,0.75,MRC
