,Biochemical,Feature importance,super.pathway,sub.pathway
0,2'-O-methyluridine,1.27265356142188,Nucleotide,"Pyrimidine Metabolism, Uracil containing"
1,beta-hydroxyisovalerate,0.9947248418664124,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
2,glycocholenate sulfate*,0.9515620519578192,Lipid,Secondary Bile Acid Metabolism
3,cortisol,0.8648124323776405,Lipid,Corticosteroids
4,piperine,0.8603527204892071,Xenobiotics,Food Component/Plant
5,N-acetylcarnosine,0.8501463393589759,Amino Acid,Histidine Metabolism
6,"5alpha-androstan-3beta,17alpha-diol disulfate",0.8500547549597129,Lipid,Androgenic Steroids
7,cyclo(leu-pro),0.7974845961781042,Peptide,Dipeptide
8,mannose,0.7925650541297061,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
9,propyl 4-hydroxybenzoate sulfate,0.7806135676726306,Xenobiotics,Benzoate Metabolism
10,arginine,0.7690038100524539,Amino Acid,Urea cycle; Arginine and Proline Metabolism
11,"1,5-anhydroglucitol (1,5-AG)",0.7654163312021072,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
12,indolelactate,0.7271636954310391,Amino Acid,Tryptophan Metabolism
13,1-ribosyl-imidazoleacetate*,0.7215149889375887,Amino Acid,Histidine Metabolism
14,saccharin,0.6848518168750275,Xenobiotics,Food Component/Plant
15,tryptophan,0.676544968402573,Amino Acid,Tryptophan Metabolism
16,gamma-glutamyltyrosine,0.6542577050792235,Peptide,Gamma-glutamyl Amino Acid
17,"androstenediol (3alpha, 17alpha) monosulfate (2)",0.6453274748999075,Lipid,Androgenic Steroids
18,mannitol,0.6312596997246327,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
19,5-methylthioadenosine (MTA),0.6308393237977026,Amino Acid,Polyamine Metabolism
20,3-(3-hydroxyphenyl)propionate sulfate,0.6298135051249337,Xenobiotics,Benzoate Metabolism
21,argininate,0.6276920162518694,Amino Acid,Urea cycle; Arginine and Proline Metabolism
22,5-hydroxyindoleacetate,0.6099671174934077,Amino Acid,Tryptophan Metabolism
23,glutamate,0.6068665863420973,Amino Acid,Glutamate Metabolism
24,sphingosine 1-phosphate,0.6058522966291531,Lipid,Sphingolipid Metabolism
25,alanine,0.6018740201912448,Amino Acid,Alanine and Aspartate Metabolism
26,cortisone,0.5839701372937172,Lipid,Corticosteroids
27,valerylcarnitine (C5),0.5799292305065253,Lipid,Fatty Acid Metabolism (Acyl Carnitine)
28,histidine,0.5752493610434256,Amino Acid,Histidine Metabolism
29,2-dihomo-linolenoyl-GPC (20:3n3 or 6)*,0.5750299815862897,Lipid,Lysophospholipid
30,3-S-cysteinyl-2-methylpropanoate*,0.5711606205556136,Xenobiotics,Chemical
31,4-hydroxyhippurate,0.559575822734092,Xenobiotics,Benzoate Metabolism
32,isoursodeoxycholate,0.5562543722931312,Lipid,Secondary Bile Acid Metabolism
33,1-docosapentaenoyl-GPC (22:5n3)*,0.5536257863545369,Lipid,Lysophospholipid
34,2-hydroxyisobutyrate,0.5507114377299698,Xenobiotics,Chemical
35,pregnanediol-3-glucuronide,0.5473569453276856,Lipid,Progestin Steroids
36,acisoga,0.5466327914085253,Amino Acid,Polyamine Metabolism
37,tyramine O-sulfate,0.5330848711149949,Amino Acid,Tyrosine Metabolism
38,3-hydroxyisobutyrate,0.5263351906937883,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
39,N-acetyltyrosine,0.5170954208327069,Amino Acid,Tyrosine Metabolism
40,phenylalanyltryptophan,0.5052566161234233,Peptide,Dipeptide
41,eugenol sulfate,0.5049460773554278,Xenobiotics,Food Component/Plant
42,pyridoxate,0.5027150451770834,Cofactors and Vitamins,Vitamin B6 Metabolism
43,tetradecanedioate (C14-DC),0.4925290357801352,Lipid,"Fatty Acid, Dicarboxylate"
44,pyruvate,0.482012636107421,Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
45,1-arachidonoyl-GPA (20:4),0.474092220650379,Lipid,Lysophospholipid
46,pentadecanoate (15:0),0.47277069620488793,Lipid,Long Chain Fatty Acid
47,"5alpha-androstan-3alpha,17beta-diol disulfate",0.4726424920754436,Lipid,Androgenic Steroids
48,heptanoate (7:0),0.4675496664207879,Lipid,Medium Chain Fatty Acid
49,"5alpha-androstan-3beta,17beta-diol disulfate",0.464584911613688,Lipid,Androgenic Steroids
50,glycohyocholate,0.4623439254709446,Lipid,Secondary Bile Acid Metabolism
51,glycylphenylalanine,0.4601731991587728,Peptide,Dipeptide
52,caproate (6:0),0.4465491846608208,Lipid,Medium Chain Fatty Acid
53,15-methylpalmitate (i17:0),0.4447719325574217,Lipid,"Fatty Acid, Branched"
