seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.07142857 0.07142857 0.35714286 0.35714286 0.92857143
 0.92857143 1.        ]","[0.         0.         0.66666667 0.66666667 0.83333333 0.83333333
 1.         1.        ]",0.738095238095238,"[0.31578947 0.27777778 0.29411765 0.3125     0.33333333 0.35714286
 0.38461538 0.41666667 0.45454545 0.5        0.44444444 0.5
 0.57142857 0.66666667 0.8        0.75       0.66666667 0.5
 0.         1.        ]","[1.         0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.83333333 0.83333333 0.83333333 0.83333333 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.5        0.33333333 0.16666667
 0.         0.        ]",0.5887426900584796,0.55,AHRI
1,"[0.         0.         0.         0.14285714 0.14285714 0.57142857
 0.57142857 0.92857143 0.92857143 1.        ]","[0.         0.16666667 0.5        0.5        0.66666667 0.66666667
 0.83333333 0.83333333 1.         1.        ]",0.7261904761904762,"[0.31578947 0.27777778 0.29411765 0.3125     0.33333333 0.35714286
 0.38461538 0.33333333 0.36363636 0.4        0.44444444 0.5
 0.57142857 0.66666667 0.6        0.75       1.         1.
 1.         1.        ]","[1.         0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.83333333 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.5        0.5        0.5        0.33333333
 0.16666667 0.        ]",0.7278452541610436,0.75,AHRI
2,[0.    0.    0.375 0.375 0.625 0.625 0.75  0.75  1.   ],[0.  0.2 0.2 0.6 0.6 0.8 0.8 1.  1. ],0.575,"[0.45454545 0.4        0.44444444 0.375      0.42857143 0.5
 0.4        0.25       0.33333333 0.5        1.         1.        ]",[1.  0.8 0.8 0.6 0.6 0.6 0.4 0.2 0.2 0.2 0.2 0. ],0.5597979797979797,0.6153846153846154,AHRI
3,"[0.         0.         0.36363636 0.36363636 0.63636364 0.63636364
 1.        ]","[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.
 1.        ]",0.6666666666666666,"[0.3        0.22222222 0.25       0.28571429 0.33333333 0.2
 0.25       0.33333333 0.5        1.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.33333333
 0.33333333 0.33333333 0.33333333 0.33333333 0.        ]",0.5444444444444444,0.6428571428571429,AHRI
4,"[0.         0.07142857 0.28571429 0.28571429 0.92857143 0.92857143
 1.        ]",[0.  0.  0.  0.5 0.5 1.  1. ],0.39285714285714285,"[0.13333333 0.07142857 0.07692308 0.08333333 0.09090909 0.1
 0.11111111 0.125      0.14285714 0.16666667 0.2        0.
 0.         0.         0.         1.        ]",[1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.  0.  0.  0.  0. ],0.16666666666666669,0.625,AHRI
5,[0.  0.  0.  0.9 0.9 1. ],[0.  0.2 0.8 0.8 1.  1. ],0.8200000000000001,"[0.35714286 0.30769231 0.33333333 0.36363636 0.4        0.44444444
 0.5        0.57142857 0.66666667 0.8        1.         1.
 1.         1.         1.        ]",[1.  0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.8 0.6 0.4 0.2 0. ],0.8714285714285714,0.8,AHRI
6,[0.  0.  0.  0.5 0.5 1.  1. ],"[0.         0.16666667 0.5        0.5        0.66666667 0.66666667
 1.        ]",0.5833333333333333,"[0.5        0.45454545 0.4        0.44444444 0.5        0.57142857
 0.5        0.6        0.75       1.         1.         1.
 1.        ]","[1.         0.83333333 0.66666667 0.66666667 0.66666667 0.66666667
 0.5        0.5        0.5        0.5        0.33333333 0.16666667
 0.        ]",0.7543290043290043,0.5,AHRI
7,[0. 0. 1. 1.],[0.  0.5 0.5 1. ],0.5,"[0.15384615 0.08333333 0.09090909 0.1        0.11111111 0.125
 0.14285714 0.16666667 0.2        0.25       0.33333333 0.5
 1.         1.        ]",[1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0. ],0.5769230769230769,0.6153846153846154,AHRI
8,[0.         0.         0.46153846 0.46153846 1.        ],[0.  0.5 0.5 1.  1. ],0.7692307692307692,"[0.25       0.14285714 0.16666667 0.2        0.25       0.33333333
 0.5        1.         1.        ]",[1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0. ],0.625,0.8666666666666667,AHRI
9,"[0.         0.         0.         0.23076923 0.23076923 0.46153846
 0.46153846 0.61538462 0.61538462 0.76923077 0.76923077 1.        ]",[0.    0.125 0.375 0.375 0.5   0.5   0.75  0.75  0.875 0.875 1.    1.   ],0.6826923076923077,"[0.44444444 0.41176471 0.4375     0.46666667 0.42857143 0.46153846
 0.5        0.45454545 0.4        0.44444444 0.5        0.57142857
 0.5        0.6        0.75       1.         1.         1.
 1.        ]","[1.    0.875 0.875 0.875 0.75  0.75  0.75  0.625 0.5   0.5   0.5   0.5
 0.375 0.375 0.375 0.375 0.25  0.125 0.   ]",0.6796356421356421,0.7619047619047619,AHRI
