seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.         0.         0.41666667 0.41666667 0.58333333
 0.58333333 0.83333333 0.83333333 1.        ]","[0.         0.16666667 0.33333333 0.33333333 0.66666667 0.66666667
 0.83333333 0.83333333 1.         1.        ]",0.625,"[0.375      0.33333333 0.35714286 0.38461538 0.41666667 0.36363636
 0.4        0.44444444 0.375      0.28571429 0.33333333 0.4
 0.5        0.66666667 1.         1.         1.        ]","[1.         0.83333333 0.83333333 0.83333333 0.83333333 0.66666667
 0.66666667 0.66666667 0.5        0.33333333 0.33333333 0.33333333
 0.33333333 0.33333333 0.33333333 0.16666667 0.        ]",0.6018518518518517,0.6111111111111112,MAK
1,"[0.         0.05555556 0.05555556 0.16666667 0.16666667 0.5
 0.5        1.        ]","[0.         0.         0.33333333 0.33333333 0.66666667 0.66666667
 1.         1.        ]",0.7592592592592593,"[0.25       0.18181818 0.2        0.22222222 0.25       0.28571429
 0.33333333 0.4        0.25       0.33333333 0.5        0.
 1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.33333333 0.33333333 0.33333333 0.
 0.        ]",0.3833333333333333,0.6666666666666666,MAK
2,[0.     0.     0.25   0.25   0.5625 0.5625 1.    ],[0.   0.25 0.25 0.75 0.75 1.   1.  ],0.734375,"[0.30769231 0.25       0.27272727 0.3        0.33333333 0.375
 0.42857143 0.33333333 0.2        0.25       0.33333333 0.5
 1.         1.        ]",[1.   0.75 0.75 0.75 0.75 0.75 0.75 0.5  0.25 0.25 0.25 0.25 0.25 0.  ],0.5173992673992673,0.65,MAK
3,"[0.         0.07142857 0.07142857 0.28571429 0.28571429 0.57142857
 0.57142857 1.        ]","[0.         0.         0.33333333 0.33333333 0.66666667 0.66666667
 1.         1.        ]",0.6904761904761905,"[0.27272727 0.2        0.22222222 0.25       0.28571429 0.33333333
 0.2        0.25       0.33333333 0.5        0.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.33333333 0.33333333 0.33333333 0.33333333 0.         0.        ]",0.3686868686868687,0.6470588235294118,MAK
4,[0.         0.         0.33333333 0.33333333 1.        ],[0.  0.5 0.5 1.  1. ],0.8333333333333334,"[0.25       0.14285714 0.16666667 0.2        0.25       0.33333333
 0.5        1.         1.        ]",[1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0. ],0.625,0.85,MAK
5,[0.  0.  0.1 0.1 0.2 0.2 1. ],[0.   0.25 0.25 0.75 0.75 1.   1.  ],0.9,"[0.66666667 0.6        0.75       0.66666667 0.5        1.
 1.        ]",[1.   0.75 0.75 0.5  0.25 0.25 0.  ],0.7708333333333333,0.7142857142857143,MAK
6,[0.   0.   0.   0.25 0.25 1.  ],[0.   0.25 0.5  0.5  1.   1.  ],0.875,"[0.57142857 0.5        0.4        0.5        0.66666667 1.
 1.         1.        ]",[1.   0.75 0.5  0.5  0.5  0.5  0.25 0.  ],0.7678571428571428,0.875,MAK
7,[0.         0.         0.34782609 0.34782609 1.        ],[0.         0.33333333 0.33333333 1.         1.        ],0.7681159420289855,"[0.27272727 0.2        0.11111111 0.125      0.14285714 0.16666667
 0.2        0.25       0.33333333 0.5        1.         1.        ]","[1.         0.66666667 0.33333333 0.33333333 0.33333333 0.33333333
 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333 0.        ]",0.4909090909090909,0.6153846153846154,MAK
8,[0.     0.     0.0625 0.0625 1.    ],[0.         0.33333333 0.33333333 1.         1.        ],0.9583333333333334,[0.75       0.66666667 0.5        1.         1.        ],[1.         0.66666667 0.33333333 0.33333333 0.        ],0.8055555555555556,0.8947368421052632,MAK
9,[0.  0.  0.  0.5 0.5 1. ],[0.   0.25 0.75 0.75 1.   1.  ],0.875,"[0.44444444 0.375      0.42857143 0.5        0.6        0.75
 1.         1.         1.         1.        ]",[1.   0.75 0.75 0.75 0.75 0.75 0.75 0.5  0.25 0.  ],0.8611111111111112,0.8571428571428571,MAK
