seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.         0.         0.02941176 0.02941176 0.05882353
 0.05882353 0.41176471 0.41176471 0.47058824 0.47058824 0.52941176
 0.52941176 1.        ]","[0.         0.11111111 0.22222222 0.22222222 0.33333333 0.33333333
 0.66666667 0.66666667 0.77777778 0.77777778 0.88888889 0.88888889
 1.         1.        ]",0.8202614379084967,"[0.33333333 0.30769231 0.32       0.33333333 0.30434783 0.31818182
 0.33333333 0.3        0.31578947 0.33333333 0.35294118 0.375
 0.4        0.42857143 0.46153846 0.5        0.54545455 0.6
 0.66666667 0.75       0.71428571 0.66666667 0.6        0.75
 0.66666667 1.         1.         1.        ]","[1.         0.88888889 0.88888889 0.88888889 0.77777778 0.77777778
 0.77777778 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.55555556 0.44444444 0.33333333 0.33333333
 0.22222222 0.22222222 0.11111111 0.        ]",0.6534391534391535,0.6511627906976745,MRC
1,"[0.         0.         0.         0.03571429 0.03571429 0.14285714
 0.14285714 0.25       0.25       0.42857143 0.42857143 0.57142857
 0.57142857 1.        ]","[0.     0.0625 0.375  0.375  0.5625 0.5625 0.625  0.625  0.6875 0.6875
 0.8125 0.8125 1.     1.    ]",0.8080357142857142,"[0.5        0.48387097 0.46666667 0.44827586 0.46428571 0.48148148
 0.5        0.52       0.5        0.47826087 0.5        0.52380952
 0.55       0.57894737 0.61111111 0.58823529 0.625      0.66666667
 0.71428571 0.69230769 0.75       0.81818182 0.9        0.88888889
 0.875      0.85714286 1.         1.         1.         1.
 1.         1.         1.        ]","[1.     0.9375 0.875  0.8125 0.8125 0.8125 0.8125 0.8125 0.75   0.6875
 0.6875 0.6875 0.6875 0.6875 0.6875 0.625  0.625  0.625  0.625  0.5625
 0.5625 0.5625 0.5625 0.5    0.4375 0.375  0.375  0.3125 0.25   0.1875
 0.125  0.0625 0.    ]",0.7787389592933948,0.7272727272727273,MRC
2,"[0.         0.         0.         0.03225806 0.03225806 0.16129032
 0.16129032 0.19354839 0.19354839 0.35483871 0.35483871 0.58064516
 0.58064516 0.93548387 0.93548387 1.        ]","[0.         0.09090909 0.45454545 0.45454545 0.54545455 0.54545455
 0.63636364 0.63636364 0.72727273 0.72727273 0.81818182 0.81818182
 0.90909091 0.90909091 1.         1.        ]",0.7947214076246335,"[0.275      0.25641026 0.26315789 0.27027027 0.27777778 0.28571429
 0.29411765 0.3030303  0.3125     0.32258065 0.33333333 0.34482759
 0.35714286 0.33333333 0.34615385 0.36       0.375      0.39130435
 0.40909091 0.42857143 0.45       0.42105263 0.44444444 0.47058824
 0.5        0.53333333 0.57142857 0.53846154 0.58333333 0.54545455
 0.6        0.66666667 0.75       0.85714286 0.83333333 1.
 1.         1.         1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.72727273 0.72727273 0.72727273
 0.72727273 0.72727273 0.72727273 0.63636364 0.63636364 0.54545455
 0.54545455 0.54545455 0.54545455 0.54545455 0.45454545 0.45454545
 0.36363636 0.27272727 0.18181818 0.09090909 0.        ]",0.7358225108225108,0.8333333333333334,MRC
3,"[0.         0.02439024 0.02439024 0.09756098 0.09756098 0.14634146
 0.14634146 0.29268293 0.29268293 0.53658537 0.53658537 0.58536585
 0.58536585 0.73170732 0.73170732 0.75609756 0.75609756 0.7804878
 0.7804878  1.         1.        ]","[0.         0.         0.07692308 0.07692308 0.38461538 0.38461538
 0.46153846 0.46153846 0.53846154 0.53846154 0.61538462 0.61538462
 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385 0.84615385
 0.92307692 0.92307692 1.        ]",0.5966228893058161,"[0.24074074 0.22641509 0.23076923 0.23529412 0.24       0.24489796
 0.25       0.25531915 0.26086957 0.26666667 0.27272727 0.25581395
 0.26190476 0.24390244 0.25       0.23076923 0.23684211 0.24324324
 0.25       0.25714286 0.26470588 0.27272727 0.25       0.25806452
 0.26666667 0.24137931 0.25       0.25925926 0.26923077 0.28
 0.29166667 0.30434783 0.31818182 0.33333333 0.35       0.36842105
 0.33333333 0.35294118 0.375      0.4        0.42857143 0.46153846
 0.5        0.45454545 0.5        0.55555556 0.5        0.42857143
 0.33333333 0.2        0.25       0.33333333 0.5        0.
 1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.92307692 0.92307692 0.92307692 0.92307692 0.92307692 0.84615385
 0.84615385 0.76923077 0.76923077 0.69230769 0.69230769 0.69230769
 0.69230769 0.69230769 0.69230769 0.69230769 0.61538462 0.61538462
 0.61538462 0.53846154 0.53846154 0.53846154 0.53846154 0.53846154
 0.53846154 0.53846154 0.53846154 0.53846154 0.53846154 0.53846154
 0.46153846 0.46153846 0.46153846 0.46153846 0.46153846 0.46153846
 0.46153846 0.38461538 0.38461538 0.38461538 0.30769231 0.23076923
 0.15384615 0.07692308 0.07692308 0.07692308 0.07692308 0.
 0.        ]",0.36543446806604696,0.7222222222222222,MRC
4,"[0.         0.         0.         0.19047619 0.19047619 0.23809524
 0.23809524 0.28571429 0.28571429 0.35714286 0.35714286 0.45238095
 0.45238095 0.5952381  0.5952381  0.66666667 0.66666667 0.69047619
 0.69047619 1.        ]","[0.         0.08333333 0.16666667 0.16666667 0.33333333 0.33333333
 0.41666667 0.41666667 0.5        0.5        0.66666667 0.66666667
 0.75       0.75       0.83333333 0.83333333 0.91666667 0.91666667
 1.         1.        ]",0.6646825396825397,"[0.29268293 0.275      0.28205128 0.26315789 0.27027027 0.27777778
 0.28571429 0.26470588 0.27272727 0.28125    0.29032258 0.3
 0.31034483 0.32142857 0.2962963  0.30769231 0.32       0.33333333
 0.34782609 0.31818182 0.28571429 0.3        0.31578947 0.33333333
 0.29411765 0.3125     0.33333333 0.28571429 0.30769231 0.33333333
 0.27272727 0.2        0.22222222 0.25       0.28571429 0.33333333
 0.4        0.5        0.66666667 1.         1.         1.        ]","[1.         0.91666667 0.91666667 0.83333333 0.83333333 0.83333333
 0.83333333 0.75       0.75       0.75       0.75       0.75
 0.75       0.75       0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.58333333 0.5        0.5        0.5        0.5
 0.41666667 0.41666667 0.41666667 0.33333333 0.33333333 0.33333333
 0.25       0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667 0.16666667 0.16666667 0.08333333 0.        ]",0.4267176869907517,0.7777777777777778,MRC
5,"[0.         0.         0.         0.05263158 0.05263158 0.13157895
 0.13157895 0.18421053 0.18421053 0.21052632 0.21052632 0.36842105
 0.36842105 0.44736842 0.44736842 0.52631579 0.52631579 1.        ]",[0.  0.1 0.2 0.2 0.4 0.4 0.5 0.5 0.6 0.6 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],0.8026315789473684,"[0.33333333 0.31034483 0.32142857 0.33333333 0.34615385 0.32
 0.33333333 0.34782609 0.36363636 0.33333333 0.35       0.36842105
 0.38888889 0.41176471 0.4375     0.46666667 0.42857143 0.46153846
 0.41666667 0.45454545 0.5        0.44444444 0.5        0.57142857
 0.66666667 0.6        0.5        0.66666667 1.         1.
 1.        ]","[1.  0.9 0.9 0.9 0.9 0.8 0.8 0.8 0.8 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.6 0.6
 0.5 0.5 0.5 0.4 0.4 0.4 0.4 0.3 0.2 0.2 0.2 0.1 0. ]",0.5737995337995339,0.7708333333333334,MRC
6,"[0.         0.         0.         0.04761905 0.04761905 0.11904762
 0.11904762 0.14285714 0.14285714 0.19047619 0.19047619 0.21428571
 0.21428571 0.26190476 0.26190476 0.71428571 0.71428571 0.88095238
 0.88095238 1.        ]","[0.         0.09090909 0.18181818 0.18181818 0.27272727 0.27272727
 0.45454545 0.45454545 0.54545455 0.54545455 0.63636364 0.63636364
 0.72727273 0.72727273 0.81818182 0.81818182 0.90909091 0.90909091
 1.         1.        ]",0.7554112554112554,"[0.22916667 0.21276596 0.2173913  0.22222222 0.22727273 0.23255814
 0.23809524 0.24390244 0.25       0.23076923 0.23684211 0.24324324
 0.25       0.25714286 0.26470588 0.27272727 0.28125    0.29032258
 0.3        0.31034483 0.32142857 0.33333333 0.34615385 0.36
 0.375      0.39130435 0.40909091 0.42857143 0.45       0.42105263
 0.44444444 0.47058824 0.4375     0.46666667 0.42857143 0.46153846
 0.5        0.45454545 0.5        0.44444444 0.375      0.42857143
 0.5        0.6        0.5        0.66666667 1.         1.
 1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182 0.72727273
 0.72727273 0.72727273 0.63636364 0.63636364 0.54545455 0.54545455
 0.54545455 0.45454545 0.45454545 0.36363636 0.27272727 0.27272727
 0.27272727 0.27272727 0.18181818 0.18181818 0.18181818 0.09090909
 0.        ]",0.5373514557338087,0.7547169811320755,MRC
7,"[0.         0.         0.03030303 0.03030303 0.15151515 0.15151515
 0.21212121 0.21212121 0.33333333 0.33333333 0.63636364 0.63636364
 0.66666667 0.66666667 0.72727273 0.72727273 0.78787879 0.78787879
 1.         1.        ]","[0.         0.07142857 0.07142857 0.28571429 0.28571429 0.42857143
 0.42857143 0.5        0.5        0.57142857 0.57142857 0.71428571
 0.71428571 0.78571429 0.78571429 0.85714286 0.85714286 0.92857143
 0.92857143 1.        ]",0.6147186147186148,"[0.29787234 0.2826087  0.28888889 0.29545455 0.30232558 0.30952381
 0.31707317 0.325      0.33333333 0.31578947 0.32432432 0.33333333
 0.31428571 0.32352941 0.33333333 0.3125     0.32258065 0.3
 0.27586207 0.28571429 0.2962963  0.30769231 0.32       0.33333333
 0.34782609 0.36363636 0.38095238 0.4        0.42105263 0.38888889
 0.41176471 0.4375     0.46666667 0.5        0.46153846 0.5
 0.54545455 0.5        0.44444444 0.5        0.57142857 0.66666667
 0.8        0.75       0.66666667 0.5        1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.85714286 0.85714286 0.85714286
 0.78571429 0.78571429 0.78571429 0.71428571 0.71428571 0.64285714
 0.57142857 0.57142857 0.57142857 0.57142857 0.57142857 0.57142857
 0.57142857 0.57142857 0.57142857 0.57142857 0.57142857 0.5
 0.5        0.5        0.5        0.5        0.42857143 0.42857143
 0.42857143 0.35714286 0.28571429 0.28571429 0.28571429 0.28571429
 0.28571429 0.21428571 0.14285714 0.07142857 0.07142857 0.        ]",0.5074019163776415,0.7021276595744681,MRC
8,"[0.         0.         0.         0.05263158 0.05263158 0.21052632
 0.21052632 0.26315789 0.26315789 0.28947368 0.28947368 0.34210526
 0.34210526 0.55263158 0.55263158 0.63157895 0.63157895 1.        ]","[0.         0.07142857 0.35714286 0.35714286 0.42857143 0.42857143
 0.57142857 0.57142857 0.64285714 0.64285714 0.71428571 0.71428571
 0.85714286 0.85714286 0.92857143 0.92857143 1.         1.        ]",0.793233082706767,"[0.36842105 0.35135135 0.36111111 0.37142857 0.38235294 0.36363636
 0.375      0.38709677 0.4        0.4137931  0.42857143 0.44444444
 0.46153846 0.48       0.45833333 0.43478261 0.45454545 0.47619048
 0.45       0.47368421 0.44444444 0.47058824 0.5        0.46666667
 0.42857143 0.46153846 0.5        0.54545455 0.6        0.66666667
 0.75       0.71428571 0.83333333 1.         1.         1.
 1.         1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.85714286
 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.85714286 0.85714286 0.78571429 0.71428571 0.71428571 0.71428571
 0.64285714 0.64285714 0.57142857 0.57142857 0.57142857 0.5
 0.42857143 0.42857143 0.42857143 0.42857143 0.42857143 0.42857143
 0.42857143 0.35714286 0.35714286 0.35714286 0.28571429 0.21428571
 0.14285714 0.07142857 0.        ]",0.6682606200374885,0.7115384615384616,MRC
9,"[0.         0.         0.03030303 0.03030303 0.18181818 0.18181818
 0.3030303  0.3030303  0.33333333 0.33333333 0.36363636 0.36363636
 1.        ]","[0.         0.09090909 0.09090909 0.36363636 0.36363636 0.63636364
 0.63636364 0.72727273 0.72727273 0.81818182 0.81818182 1.
 1.        ]",0.8181818181818181,"[0.47826087 0.45454545 0.42857143 0.45       0.42105263 0.44444444
 0.41176471 0.4375     0.46666667 0.5        0.53846154 0.5
 0.45454545 0.4        0.44444444 0.5        0.57142857 0.66666667
 0.8        0.75       0.66666667 0.5        1.         1.        ]","[1.         0.90909091 0.81818182 0.81818182 0.72727273 0.72727273
 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364 0.54545455
 0.45454545 0.36363636 0.36363636 0.36363636 0.36363636 0.36363636
 0.36363636 0.27272727 0.18181818 0.09090909 0.09090909 0.        ]",0.5942658571117069,0.7727272727272727,MRC
10,"[0.         0.         0.14285714 0.14285714 0.16326531 0.16326531
 0.2244898  0.2244898  0.48979592 0.48979592 0.51020408 0.51020408
 0.59183673 0.59183673 0.67346939 0.67346939 1.        ]","[0.         0.11111111 0.11111111 0.33333333 0.33333333 0.44444444
 0.44444444 0.55555556 0.55555556 0.66666667 0.66666667 0.77777778
 0.77777778 0.88888889 0.88888889 1.         1.        ]",0.673469387755102,"[0.21428571 0.19512195 0.2        0.20512821 0.21052632 0.21621622
 0.19444444 0.2        0.20588235 0.21212121 0.21875    0.19354839
 0.2        0.17241379 0.17857143 0.18518519 0.19230769 0.2
 0.20833333 0.2173913  0.22727273 0.23809524 0.25       0.26315789
 0.27777778 0.29411765 0.3125     0.26666667 0.28571429 0.30769231
 0.33333333 0.27272727 0.3        0.22222222 0.125      0.14285714
 0.16666667 0.2        0.25       0.33333333 0.5        1.
 1.        ]","[1.         0.88888889 0.88888889 0.88888889 0.88888889 0.88888889
 0.77777778 0.77777778 0.77777778 0.77777778 0.77777778 0.66666667
 0.66666667 0.55555556 0.55555556 0.55555556 0.55555556 0.55555556
 0.55555556 0.55555556 0.55555556 0.55555556 0.55555556 0.55555556
 0.55555556 0.55555556 0.55555556 0.44444444 0.44444444 0.44444444
 0.44444444 0.33333333 0.33333333 0.22222222 0.11111111 0.11111111
 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111 0.11111111
 0.        ]",0.3352563873397207,0.7241379310344828,MRC
11,"[0.         0.         0.         0.02222222 0.02222222 0.11111111
 0.11111111 0.13333333 0.13333333 0.4        0.4        0.53333333
 0.53333333 0.82222222 0.82222222 1.        ]","[0.         0.09090909 0.18181818 0.18181818 0.45454545 0.45454545
 0.54545455 0.54545455 0.63636364 0.63636364 0.72727273 0.72727273
 0.90909091 0.90909091 1.         1.        ]",0.7636363636363637,"[0.22916667 0.21276596 0.2173913  0.22222222 0.22727273 0.23255814
 0.23809524 0.24390244 0.25       0.25641026 0.26315789 0.27027027
 0.27777778 0.28571429 0.29411765 0.27272727 0.25       0.25806452
 0.26666667 0.27586207 0.28571429 0.2962963  0.30769231 0.28
 0.29166667 0.30434783 0.31818182 0.33333333 0.35       0.36842105
 0.38888889 0.41176471 0.4375     0.46666667 0.5        0.53846154
 0.5        0.54545455 0.5        0.55555556 0.625      0.71428571
 0.83333333 0.8        0.75       0.66666667 1.         1.
 1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.81818182 0.72727273 0.72727273
 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273 0.63636364
 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364
 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364
 0.54545455 0.54545455 0.45454545 0.45454545 0.45454545 0.45454545
 0.45454545 0.36363636 0.27272727 0.18181818 0.18181818 0.09090909
 0.        ]",0.5973593919449535,0.8392857142857143,MRC
12,"[0.         0.         0.         0.25       0.25       0.72222222
 0.72222222 0.77777778 0.77777778 0.83333333 0.83333333 0.91666667
 0.91666667 1.        ]","[0.         0.09090909 0.45454545 0.45454545 0.63636364 0.63636364
 0.72727273 0.72727273 0.81818182 0.81818182 0.90909091 0.90909091
 1.         1.        ]",0.6590909090909092,"[0.25       0.23255814 0.23809524 0.24390244 0.25       0.23076923
 0.23684211 0.24324324 0.22222222 0.22857143 0.23529412 0.21212121
 0.21875    0.22580645 0.23333333 0.24137931 0.25       0.25925926
 0.26923077 0.28       0.29166667 0.30434783 0.31818182 0.33333333
 0.35       0.36842105 0.38888889 0.41176471 0.4375     0.4
 0.35714286 0.38461538 0.41666667 0.45454545 0.5        0.55555556
 0.625      0.71428571 0.83333333 1.         1.         1.
 1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.81818182
 0.81818182 0.81818182 0.72727273 0.72727273 0.72727273 0.63636364
 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364
 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364
 0.63636364 0.63636364 0.63636364 0.63636364 0.63636364 0.54545455
 0.45454545 0.45454545 0.45454545 0.45454545 0.45454545 0.45454545
 0.45454545 0.45454545 0.45454545 0.45454545 0.36363636 0.27272727
 0.18181818 0.09090909 0.        ]",0.6196397600809366,0.6595744680851063,MRC
13,"[0.         0.02702703 0.02702703 0.08108108 0.08108108 0.10810811
 0.10810811 0.18918919 0.18918919 0.48648649 0.48648649 0.59459459
 0.59459459 0.67567568 0.67567568 1.        ]","[0.         0.         0.30769231 0.30769231 0.61538462 0.61538462
 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385 0.84615385
 0.92307692 0.92307692 1.         1.        ]",0.8087318087318087,"[0.34210526 0.32432432 0.33333333 0.34285714 0.35294118 0.33333333
 0.34375    0.35483871 0.36666667 0.37931034 0.35714286 0.37037037
 0.38461538 0.4        0.41666667 0.43478261 0.45454545 0.47619048
 0.5        0.52631579 0.55555556 0.58823529 0.5625     0.6
 0.64285714 0.69230769 0.66666667 0.72727273 0.7        0.66666667
 0.625      0.57142857 0.66666667 0.8        0.75       0.66666667
 0.5        0.         1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.92307692 0.84615385
 0.84615385 0.84615385 0.84615385 0.84615385 0.76923077 0.76923077
 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077
 0.76923077 0.76923077 0.76923077 0.76923077 0.69230769 0.69230769
 0.69230769 0.69230769 0.61538462 0.61538462 0.53846154 0.46153846
 0.38461538 0.30769231 0.30769231 0.30769231 0.23076923 0.15384615
 0.07692308 0.         0.        ]",0.5992696793451899,0.68,MRC
