seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.         0.14285714 0.14285714 0.21428571 0.21428571
 0.5        0.5        0.78571429 0.78571429 1.        ]","[0.         0.16666667 0.16666667 0.33333333 0.33333333 0.5
 0.5        0.66666667 0.66666667 1.         1.        ]",0.5952380952380952,"[0.35294118 0.3125     0.26666667 0.28571429 0.30769231 0.33333333
 0.36363636 0.3        0.33333333 0.375      0.42857143 0.5
 0.4        0.5        0.33333333 0.5        1.         1.        ]","[1.         0.83333333 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.5        0.5        0.5        0.5        0.5
 0.33333333 0.33333333 0.16666667 0.16666667 0.16666667 0.        ]",0.504846256684492,0.75,AHRI
1,"[0.         0.         0.         0.14285714 0.14285714 0.42857143
 0.42857143 0.57142857 0.57142857 0.78571429 0.78571429 1.        ]","[0.         0.16666667 0.33333333 0.33333333 0.5        0.5
 0.66666667 0.66666667 0.83333333 0.83333333 1.         1.        ]",0.6785714285714286,"[0.35294118 0.3125     0.33333333 0.35714286 0.38461538 0.33333333
 0.36363636 0.4        0.33333333 0.375      0.42857143 0.5
 0.6        0.5        0.66666667 1.         1.         1.        ]","[1.         0.83333333 0.83333333 0.83333333 0.83333333 0.66666667
 0.66666667 0.66666667 0.5        0.5        0.5        0.5
 0.5        0.33333333 0.33333333 0.33333333 0.16666667 0.        ]",0.6229260935143288,0.7,AHRI
2,[0.    0.125 0.25  0.25  0.375 0.375 0.625 0.625 1.   ],[0.  0.  0.  0.2 0.2 0.6 0.6 1.  1. ],0.55,"[0.5        0.44444444 0.375      0.42857143 0.5        0.4
 0.25       0.33333333 0.         0.         1.        ]",[1.  0.8 0.6 0.6 0.6 0.4 0.2 0.2 0.  0.  0. ],0.43555555555555553,0.6153846153846154,AHRI
3,[0.         0.         0.         0.45454545 0.45454545 1.        ],[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],0.8484848484848484,"[0.375      0.28571429 0.33333333 0.4        0.5        0.66666667
 1.         1.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.33333333 0.        ]",0.7916666666666666,0.7857142857142857,AHRI
4,"[0.         0.07142857 0.35714286 0.35714286 0.57142857 0.57142857
 1.        ]",[0.  0.  0.  0.5 0.5 1.  1. ],0.5357142857142857,"[0.2        0.11111111 0.125      0.14285714 0.16666667 0.
 0.         0.         0.         0.         1.        ]",[1.  0.5 0.5 0.5 0.5 0.  0.  0.  0.  0.  0. ],0.18333333333333335,0.875,AHRI
5,[0.  0.  0.  0.1 0.1 0.8 0.8 1. ],[0.  0.2 0.4 0.4 0.6 0.6 1.  1. ],0.66,"[0.38461538 0.33333333 0.27272727 0.3        0.33333333 0.375
 0.42857143 0.5        0.6        0.75       0.66666667 1.
 1.         1.        ]",[1.  0.8 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.4 0.4 0.2 0. ],0.6935897435897436,0.8,AHRI
6,"[0.         0.         0.33333333 0.33333333 0.5        0.5
 0.83333333 0.83333333 1.        ]","[0.         0.16666667 0.16666667 0.5        0.5        0.83333333
 0.83333333 1.         1.        ]",0.5833333333333334,"[0.54545455 0.5        0.55555556 0.625      0.57142857 0.5
 0.6        0.5        0.33333333 0.5        1.         1.        ]","[1.         0.83333333 0.83333333 0.83333333 0.66666667 0.5
 0.5        0.33333333 0.16666667 0.16666667 0.16666667 0.        ]",0.6403138528138528,0.5833333333333334,AHRI
7,[0.         0.         0.72727273 0.72727273 1.        ],[0.  0.5 0.5 1.  1. ],0.6363636363636364,"[0.2        0.11111111 0.125      0.14285714 0.16666667 0.2
 0.25       0.33333333 0.5        1.         1.        ]",[1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0. ],0.6,0.8461538461538461,AHRI
8,[0.         0.         0.53846154 0.53846154 1.        ],[0.  0.5 0.5 1.  1. ],0.7307692307692308,"[0.22222222 0.125      0.14285714 0.16666667 0.2        0.25
 0.33333333 0.5        1.         1.        ]",[1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0. ],0.6111111111111112,0.9333333333333333,AHRI
9,"[0.         0.         0.         0.23076923 0.23076923 0.38461538
 0.38461538 0.53846154 0.53846154 0.61538462 0.61538462 1.        ]",[0.    0.125 0.25  0.25  0.375 0.375 0.75  0.75  0.875 0.875 1.    1.   ],0.6826923076923077,"[0.5        0.46666667 0.5        0.46153846 0.5        0.54545455
 0.5        0.44444444 0.375      0.42857143 0.5        0.4
 0.5        0.66666667 1.         1.         1.        ]","[1.    0.875 0.875 0.75  0.75  0.75  0.625 0.5   0.375 0.375 0.375 0.25
 0.25  0.25  0.25  0.125 0.   ]",0.6237373737373737,0.6190476190476191,AHRI
