seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,[0.         0.         0.         0.41666667 0.41666667 1.        ],[0.         0.16666667 0.5        0.5        1.         1.        ],0.7916666666666666,"[0.54545455 0.5        0.44444444 0.375      0.42857143 0.5
 0.6        0.75       1.         1.         1.         1.        ]","[1.         0.83333333 0.66666667 0.5        0.5        0.5
 0.5        0.5        0.5        0.33333333 0.16666667 0.        ]",0.7483164983164983,0.7222222222222222,MAK
1,"[0.         0.05555556 0.11111111 0.11111111 0.44444444 0.44444444
 0.55555556 0.55555556 1.        ]","[0.         0.         0.         0.33333333 0.33333333 0.66666667
 0.66666667 1.         1.        ]",0.6296296296296295,"[0.23076923 0.16666667 0.18181818 0.2        0.11111111 0.125
 0.14285714 0.16666667 0.2        0.25       0.33333333 0.
 0.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.33333333 0.33333333
 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333 0.
 0.         0.        ]",0.2547008547008547,0.8571428571428571,MAK
2,[0.     0.     0.0625 0.0625 0.5    0.5    1.    ],[0.   0.25 0.25 0.5  0.5  1.   1.  ],0.734375,"[0.33333333 0.27272727 0.2        0.22222222 0.25       0.28571429
 0.33333333 0.4        0.5        0.66666667 0.5        1.
 1.        ]",[1.   0.75 0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.5  0.25 0.25 0.  ],0.5681818181818181,0.8,MAK
3,[0.         0.         0.         0.42857143 0.42857143 1.        ],[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],0.8571428571428571,"[0.33333333 0.25       0.28571429 0.33333333 0.4        0.5
 0.66666667 1.         1.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.33333333 0.        ]",0.7777777777777777,0.9411764705882353,MAK
4,[0.         0.05555556 0.05555556 0.38888889 0.38888889 1.        ],[0.  0.  0.5 0.5 1.  1. ],0.7777777777777779,"[0.22222222 0.125      0.14285714 0.16666667 0.2        0.25
 0.33333333 0.5        0.         1.        ]",[1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.  0. ],0.3611111111111111,0.9,MAK
5,[0.  0.  0.1 0.1 0.4 0.4 0.5 0.5 1. ],[0.   0.25 0.25 0.5  0.5  0.75 0.75 1.   1.  ],0.75,"[0.44444444 0.375      0.42857143 0.33333333 0.4        0.5
 0.66666667 0.5        1.         1.        ]",[1.   0.75 0.75 0.5  0.5  0.5  0.5  0.25 0.25 0.  ],0.6349206349206349,0.7142857142857143,MAK
6,"[0.         0.         0.08333333 0.08333333 0.16666667 0.16666667
 0.25       0.25       1.        ]",[0.   0.25 0.25 0.5  0.5  0.75 0.75 1.   1.  ],0.875,"[0.57142857 0.5        0.6        0.5        0.66666667 0.5
 1.         1.        ]",[1.   0.75 0.75 0.5  0.5  0.25 0.25 0.  ],0.7095238095238094,0.75,MAK
7,[0.         0.         0.         0.39130435 0.39130435 1.        ],[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],0.8695652173913044,"[0.25       0.18181818 0.2        0.22222222 0.25       0.28571429
 0.33333333 0.4        0.5        0.66666667 1.         1.
 1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.33333333
 0.        ]",0.75,0.9230769230769231,MAK
8,[0.    0.    0.    0.375 0.375 1.   ],[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],0.875,"[0.33333333 0.25       0.28571429 0.33333333 0.4        0.5
 0.66666667 1.         1.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.33333333 0.        ]",0.7777777777777777,0.8947368421052632,MAK
9,[0. 0. 0. 1.],[0.   0.25 1.   1.  ],1.0,[1. 1. 1. 1. 1.],[1.   0.75 0.5  0.25 0.  ],1.0,0.7142857142857143,MAK
10,"[0.         0.         0.         0.16666667 0.16666667 0.5
 0.5        0.83333333 0.83333333 1.        ]","[0.         0.14285714 0.42857143 0.42857143 0.57142857 0.57142857
 0.85714286 0.85714286 1.         1.        ]",0.7142857142857143,"[0.58333333 0.54545455 0.6        0.66666667 0.625      0.57142857
 0.66666667 0.8        0.75       1.         1.         1.
 1.        ]","[1.         0.85714286 0.85714286 0.85714286 0.71428571 0.57142857
 0.57142857 0.57142857 0.42857143 0.42857143 0.28571429 0.14285714
 0.        ]",0.8107142857142855,0.5384615384615384,MAK
11,[0.  0.  0.  0.1 0.1 0.2 0.2 0.5 0.5 1.  1. ],"[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.57142857 0.57142857 0.85714286 0.85714286 1.        ]",0.6714285714285714,"[0.41176471 0.375      0.4        0.42857143 0.46153846 0.5
 0.54545455 0.5        0.44444444 0.5        0.57142857 0.66666667
 0.6        0.75       0.66666667 1.         1.         1.        ]","[1.         0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.85714286 0.71428571 0.57142857 0.57142857 0.57142857 0.57142857
 0.42857143 0.42857143 0.28571429 0.28571429 0.14285714 0.        ]",0.6962694168576522,0.6470588235294118,MAK
12,[0.         0.         0.         0.30769231 0.30769231 1.        ],[0.  0.2 0.6 0.6 1.  1. ],0.8769230769230769,"[0.55555556 0.5        0.42857143 0.5        0.6        0.75
 1.         1.         1.         1.        ]",[1.  0.8 0.6 0.6 0.6 0.6 0.6 0.4 0.2 0. ],0.8111111111111111,0.7222222222222222,MAK
13,[0.         0.         0.         0.73333333 0.73333333 1.        ],[0.         0.33333333 0.66666667 0.66666667 1.         1.        ],0.7555555555555555,"[0.21428571 0.15384615 0.16666667 0.18181818 0.2        0.22222222
 0.25       0.28571429 0.33333333 0.4        0.5        0.66666667
 1.         1.         1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.33333333 0.        ]",0.7380952380952381,0.9444444444444444,MAK
14,"[0.         0.         0.07692308 0.07692308 0.23076923 0.23076923
 1.        ]","[0.         0.33333333 0.33333333 0.66666667 0.66666667 1.
 1.        ]",0.8974358974358974,"[0.5        0.4        0.5        0.66666667 0.5        1.
 1.        ]","[1.         0.66666667 0.66666667 0.66666667 0.33333333 0.33333333
 0.        ]",0.7222222222222222,0.875,MAK
15,[0.         0.         0.         0.09090909 0.09090909 1.        ],[0.  0.2 0.4 0.4 1.  1. ],0.9454545454545454,"[0.83333333 0.8        0.75       0.66666667 1.         1.
 1.        ]",[1.  0.8 0.6 0.4 0.4 0.2 0. ],0.8766666666666667,0.8125,MAK
16,"[0.         0.         0.         0.11111111 0.11111111 0.22222222
 0.22222222 0.44444444 0.44444444 0.55555556 0.55555556 0.66666667
 0.66666667 1.        ]","[0.         0.14285714 0.28571429 0.28571429 0.42857143 0.42857143
 0.57142857 0.57142857 0.71428571 0.71428571 0.85714286 0.85714286
 1.         1.        ]",0.7142857142857143,"[0.53846154 0.5        0.54545455 0.5        0.55555556 0.5
 0.57142857 0.66666667 0.6        0.75       0.66666667 1.
 1.         1.        ]","[1.         0.85714286 0.85714286 0.71428571 0.71428571 0.57142857
 0.57142857 0.57142857 0.42857143 0.42857143 0.28571429 0.28571429
 0.14285714 0.        ]",0.7223054723054723,0.5625,MAK
