seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.02941176 0.02941176 0.05882353 0.05882353 0.11764706
 0.11764706 0.38235294 0.38235294 0.5        0.5        1.        ]","[0.         0.         0.44444444 0.44444444 0.66666667 0.66666667
 0.77777778 0.77777778 0.88888889 0.88888889 1.         1.        ]",0.8627450980392157,"[0.34615385 0.32       0.33333333 0.34782609 0.36363636 0.38095238
 0.35       0.36842105 0.38888889 0.41176471 0.4375     0.46666667
 0.5        0.53846154 0.58333333 0.63636364 0.6        0.66666667
 0.75       0.71428571 0.66666667 0.8        0.75       0.66666667
 0.5        0.         1.        ]","[1.         0.88888889 0.88888889 0.88888889 0.88888889 0.88888889
 0.77777778 0.77777778 0.77777778 0.77777778 0.77777778 0.77777778
 0.77777778 0.77777778 0.77777778 0.77777778 0.66666667 0.66666667
 0.66666667 0.55555556 0.44444444 0.44444444 0.33333333 0.22222222
 0.11111111 0.         0.        ]",0.616046916046916,0.7906976744186046,MRC
1,"[0.         0.         0.         0.03571429 0.03571429 0.07142857
 0.07142857 0.10714286 0.10714286 0.25       0.25       0.46428571
 0.46428571 0.89285714 0.89285714 1.        ]","[0.     0.0625 0.5    0.5    0.625  0.625  0.75   0.75   0.8125 0.8125
 0.875  0.875  0.9375 0.9375 1.     1.    ]",0.8794642857142857,"[0.3902439  0.375      0.38461538 0.39473684 0.40540541 0.41666667
 0.42857143 0.44117647 0.45454545 0.46875    0.48387097 0.5
 0.51724138 0.53571429 0.51851852 0.53846154 0.56       0.58333333
 0.60869565 0.63636364 0.66666667 0.65       0.68421053 0.72222222
 0.76470588 0.8125     0.8        0.85714286 0.84615385 0.83333333
 0.90909091 0.9        0.88888889 1.         1.         1.
 1.         1.         1.         1.         1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.9375 0.9375 0.9375 0.9375 0.875  0.875  0.875  0.875  0.875  0.875
 0.875  0.8125 0.8125 0.8125 0.8125 0.8125 0.75   0.75   0.6875 0.625
 0.625  0.5625 0.5    0.5    0.4375 0.375  0.3125 0.25   0.1875 0.125
 0.0625 0.    ]",0.8698445292004744,0.7045454545454546,MRC
2,"[0.         0.         0.         0.03225806 0.03225806 0.09677419
 0.09677419 0.16129032 0.16129032 0.19354839 0.19354839 0.90322581
 0.90322581 1.        ]","[0.         0.09090909 0.36363636 0.36363636 0.63636364 0.63636364
 0.72727273 0.72727273 0.81818182 0.81818182 0.90909091 0.90909091
 1.         1.        ]",0.8680351906158358,"[0.28205128 0.26315789 0.27027027 0.27777778 0.28571429 0.29411765
 0.3030303  0.3125     0.32258065 0.33333333 0.34482759 0.35714286
 0.37037037 0.38461538 0.4        0.41666667 0.43478261 0.45454545
 0.47619048 0.5        0.52631579 0.55555556 0.58823529 0.625
 0.6        0.64285714 0.61538462 0.66666667 0.72727273 0.7
 0.77777778 0.875      0.85714286 0.83333333 0.8        1.
 1.         1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.81818182 0.81818182 0.72727273 0.72727273 0.72727273 0.63636364
 0.63636364 0.63636364 0.54545455 0.45454545 0.36363636 0.36363636
 0.27272727 0.18181818 0.09090909 0.        ]",0.8038779402415768,0.7619047619047619,MRC
3,"[0.         0.         0.         0.02439024 0.02439024 0.12195122
 0.12195122 0.14634146 0.14634146 0.19512195 0.19512195 0.26829268
 0.26829268 0.31707317 0.31707317 0.46341463 0.46341463 0.48780488
 0.48780488 0.63414634 0.63414634 0.80487805 0.80487805 0.90243902
 0.90243902 1.        ]","[0.         0.07692308 0.15384615 0.15384615 0.23076923 0.23076923
 0.30769231 0.30769231 0.38461538 0.38461538 0.46153846 0.46153846
 0.53846154 0.53846154 0.61538462 0.61538462 0.69230769 0.69230769
 0.76923077 0.76923077 0.84615385 0.84615385 0.92307692 0.92307692
 1.         1.        ]",0.6641651031894934,"[0.26       0.24489796 0.25       0.25531915 0.26086957 0.26666667
 0.25       0.25581395 0.26190476 0.26829268 0.275      0.28205128
 0.28947368 0.2972973  0.27777778 0.28571429 0.29411765 0.3030303
 0.3125     0.32258065 0.33333333 0.31034483 0.32142857 0.2962963
 0.30769231 0.32       0.33333333 0.34782609 0.36363636 0.38095238
 0.35       0.36842105 0.38888889 0.35294118 0.375      0.4
 0.42857143 0.38461538 0.41666667 0.45454545 0.4        0.44444444
 0.375      0.42857143 0.5        0.6        0.75       0.66666667
 1.         1.         1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.92307692 0.92307692
 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385
 0.84615385 0.84615385 0.76923077 0.76923077 0.76923077 0.76923077
 0.76923077 0.76923077 0.76923077 0.69230769 0.69230769 0.61538462
 0.61538462 0.61538462 0.61538462 0.61538462 0.61538462 0.61538462
 0.53846154 0.53846154 0.53846154 0.46153846 0.46153846 0.46153846
 0.46153846 0.38461538 0.38461538 0.38461538 0.30769231 0.30769231
 0.23076923 0.23076923 0.23076923 0.23076923 0.23076923 0.15384615
 0.15384615 0.07692308 0.        ]",0.4866252666252666,0.7962962962962963,MRC
4,"[0.         0.         0.         0.02380952 0.02380952 0.0952381
 0.0952381  0.11904762 0.11904762 0.26190476 0.26190476 0.38095238
 0.38095238 0.5        0.5        0.54761905 0.54761905 0.57142857
 0.57142857 1.        ]","[0.         0.08333333 0.16666667 0.16666667 0.33333333 0.33333333
 0.41666667 0.41666667 0.58333333 0.58333333 0.66666667 0.66666667
 0.75       0.75       0.83333333 0.83333333 0.91666667 0.91666667
 1.         1.        ]",0.7797619047619048,"[0.33333333 0.31428571 0.32352941 0.3030303  0.3125     0.32258065
 0.3        0.31034483 0.32142857 0.33333333 0.34615385 0.36
 0.33333333 0.34782609 0.36363636 0.38095238 0.4        0.42105263
 0.38888889 0.41176471 0.4375     0.46666667 0.5        0.53846154
 0.58333333 0.54545455 0.5        0.55555556 0.5        0.57142857
 0.66666667 0.8        0.75       0.66666667 1.         1.
 1.        ]","[1.         0.91666667 0.91666667 0.83333333 0.83333333 0.83333333
 0.75       0.75       0.75       0.75       0.75       0.75
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.58333333 0.58333333 0.58333333 0.58333333 0.58333333 0.58333333
 0.58333333 0.5        0.41666667 0.41666667 0.33333333 0.33333333
 0.33333333 0.33333333 0.25       0.16666667 0.16666667 0.08333333
 0.        ]",0.5829032880151426,0.7962962962962963,MRC
5,"[0.         0.         0.         0.02631579 0.02631579 0.05263158
 0.05263158 0.26315789 0.26315789 0.34210526 0.34210526 0.36842105
 0.36842105 1.        ]",[0.  0.1 0.4 0.4 0.5 0.5 0.7 0.7 0.8 0.8 0.9 0.9 1.  1. ],0.8894736842105262,"[0.41666667 0.39130435 0.40909091 0.38095238 0.4        0.42105263
 0.44444444 0.41176471 0.4375     0.46666667 0.5        0.53846154
 0.58333333 0.63636364 0.7        0.77777778 0.75       0.71428571
 0.83333333 0.8        1.         1.         1.         1.
 1.        ]","[1.  0.9 0.9 0.8 0.8 0.8 0.8 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.7 0.6 0.5
 0.5 0.4 0.4 0.3 0.2 0.1 0. ]",0.7631313131313131,0.7916666666666666,MRC
6,"[0.         0.         0.         0.02380952 0.02380952 0.07142857
 0.07142857 0.0952381  0.0952381  0.11904762 0.11904762 0.26190476
 0.26190476 0.54761905 0.54761905 1.        ]","[0.         0.09090909 0.36363636 0.36363636 0.54545455 0.54545455
 0.63636364 0.63636364 0.72727273 0.72727273 0.81818182 0.81818182
 0.90909091 0.90909091 1.         1.        ]",0.8961038961038961,"[0.32352941 0.3030303  0.3125     0.32258065 0.33333333 0.34482759
 0.35714286 0.37037037 0.38461538 0.4        0.41666667 0.43478261
 0.45454545 0.47619048 0.45       0.47368421 0.5        0.52941176
 0.5625     0.6        0.64285714 0.61538462 0.66666667 0.63636364
 0.7        0.66666667 0.75       0.85714286 0.83333333 0.8
 1.         1.         1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.72727273 0.72727273 0.63636364
 0.63636364 0.54545455 0.54545455 0.54545455 0.45454545 0.36363636
 0.36363636 0.27272727 0.18181818 0.09090909 0.        ]",0.7727018079959257,0.8301886792452831,MRC
7,"[0.         0.         0.         0.03030303 0.03030303 0.15151515
 0.15151515 0.18181818 0.18181818 0.39393939 0.39393939 0.66666667
 0.66666667 0.78787879 0.78787879 1.         1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.57142857 0.57142857
 0.64285714 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429
 0.85714286 0.85714286 0.92857143 0.92857143 1.        ]",0.7597402597402597,"[0.29787234 0.2826087  0.28888889 0.29545455 0.30232558 0.30952381
 0.31707317 0.325      0.33333333 0.31578947 0.32432432 0.33333333
 0.34285714 0.35294118 0.33333333 0.34375    0.35483871 0.36666667
 0.37931034 0.39285714 0.40740741 0.42307692 0.44       0.45833333
 0.43478261 0.45454545 0.47619048 0.5        0.52631579 0.55555556
 0.58823529 0.625      0.6        0.64285714 0.61538462 0.66666667
 0.72727273 0.8        0.88888889 0.875      0.85714286 0.83333333
 0.8        0.75       0.66666667 1.         1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.85714286 0.85714286 0.85714286
 0.85714286 0.85714286 0.78571429 0.78571429 0.78571429 0.78571429
 0.78571429 0.78571429 0.78571429 0.78571429 0.78571429 0.78571429
 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571 0.71428571
 0.71428571 0.71428571 0.64285714 0.64285714 0.57142857 0.57142857
 0.57142857 0.57142857 0.57142857 0.5        0.42857143 0.35714286
 0.28571429 0.21428571 0.14285714 0.14285714 0.07142857 0.        ]",0.6939073146989292,0.7446808510638298,MRC
8,"[0.         0.         0.         0.02631579 0.02631579 0.05263158
 0.05263158 0.07894737 0.07894737 0.15789474 0.15789474 0.26315789
 0.26315789 0.28947368 0.28947368 0.42105263 0.42105263 0.52631579
 0.52631579 1.        ]","[0.         0.07142857 0.35714286 0.35714286 0.42857143 0.42857143
 0.5        0.5        0.64285714 0.64285714 0.71428571 0.71428571
 0.78571429 0.78571429 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]",0.8646616541353384,"[0.41176471 0.39393939 0.40625    0.41935484 0.43333333 0.44827586
 0.42857143 0.44444444 0.46153846 0.48       0.5        0.52173913
 0.5        0.52380952 0.5        0.52631579 0.55555556 0.58823529
 0.625      0.6        0.64285714 0.69230769 0.75       0.72727273
 0.7        0.77777778 0.75       0.85714286 0.83333333 1.
 1.         1.         1.         1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.78571429 0.78571429 0.71428571 0.71428571 0.71428571 0.71428571
 0.71428571 0.64285714 0.64285714 0.64285714 0.64285714 0.57142857
 0.5        0.5        0.42857143 0.42857143 0.35714286 0.35714286
 0.28571429 0.21428571 0.14285714 0.07142857 0.        ]",0.7601987560277847,0.8076923076923077,MRC
9,"[0.         0.         0.         0.12121212 0.12121212 0.27272727
 0.27272727 0.51515152 0.51515152 1.        ]","[0.         0.09090909 0.45454545 0.45454545 0.72727273 0.72727273
 0.81818182 0.81818182 1.         1.        ]",0.8484848484848485,"[0.39285714 0.37037037 0.34615385 0.36       0.375      0.39130435
 0.40909091 0.42857143 0.45       0.47368421 0.5        0.47058824
 0.5        0.53333333 0.57142857 0.61538462 0.66666667 0.63636364
 0.6        0.55555556 0.625      0.71428571 0.83333333 1.
 1.         1.         1.         1.         1.        ]","[1.         0.90909091 0.81818182 0.81818182 0.81818182 0.81818182
 0.81818182 0.81818182 0.81818182 0.81818182 0.81818182 0.72727273
 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273 0.63636364
 0.54545455 0.45454545 0.45454545 0.45454545 0.45454545 0.45454545
 0.36363636 0.27272727 0.18181818 0.09090909 0.        ]",0.7423870742052561,0.7954545454545454,MRC
