seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,site
0,"[0.         0.         0.         0.03703704 0.03703704 0.05555556
 0.05555556 0.07407407 0.07407407 0.12962963 0.12962963 0.2037037
 0.2037037  0.33333333 0.33333333 0.40740741 0.40740741 0.51851852
 0.51851852 0.68518519 0.68518519 1.        ]","[0.     0.0625 0.125  0.125  0.375  0.375  0.5    0.5    0.5625 0.5625
 0.625  0.625  0.6875 0.6875 0.75   0.75   0.8125 0.8125 0.9375 0.9375
 1.     1.    ]",0.8043981481481481,"[0.30188679 0.28846154 0.29411765 0.3        0.30612245 0.3125
 0.31914894 0.32608696 0.33333333 0.34090909 0.34883721 0.33333333
 0.31707317 0.325      0.33333333 0.34210526 0.35135135 0.36111111
 0.37142857 0.35294118 0.36363636 0.375      0.38709677 0.4
 0.37931034 0.39285714 0.40740741 0.42307692 0.44       0.45833333
 0.47826087 0.5        0.47619048 0.5        0.52631579 0.55555556
 0.58823529 0.5625     0.6        0.64285714 0.69230769 0.66666667
 0.72727273 0.7        0.66666667 0.75       0.71428571 0.66666667
 0.6        0.5        0.66666667 1.         1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.9375
 0.9375 0.875  0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.8125 0.75
 0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875 0.6875 0.6875 0.6875
 0.6875 0.6875 0.625  0.625  0.625  0.625  0.625  0.5625 0.5625 0.5625
 0.5625 0.5    0.5    0.4375 0.375  0.375  0.3125 0.25   0.1875 0.125
 0.125  0.125  0.0625 0.    ]",0.6058908750729692,0.7714285714285715,SUN
1,"[0.         0.         0.         0.02222222 0.02222222 0.04444444
 0.04444444 0.13333333 0.13333333 0.35555556 0.35555556 0.44444444
 0.44444444 0.46666667 0.46666667 0.53333333 0.53333333 0.62222222
 0.62222222 0.64444444 0.64444444 0.93333333 0.93333333 1.        ]","[0.         0.04761905 0.42857143 0.42857143 0.52380952 0.52380952
 0.61904762 0.61904762 0.66666667 0.66666667 0.71428571 0.71428571
 0.76190476 0.76190476 0.80952381 0.80952381 0.85714286 0.85714286
 0.9047619  0.9047619  0.95238095 0.95238095 1.         1.        ]",0.7968253968253968,"[0.33333333 0.32258065 0.32786885 0.33333333 0.33898305 0.34482759
 0.35087719 0.35714286 0.36363636 0.37037037 0.37735849 0.38461538
 0.39215686 0.4        0.40816327 0.39583333 0.40425532 0.39130435
 0.4        0.40909091 0.41860465 0.42857143 0.41463415 0.425
 0.43589744 0.44736842 0.43243243 0.44444444 0.42857143 0.44117647
 0.45454545 0.46875    0.48387097 0.46666667 0.48275862 0.5
 0.51851852 0.53846154 0.56       0.58333333 0.60869565 0.63636364
 0.66666667 0.7        0.68421053 0.72222222 0.76470588 0.8125
 0.86666667 0.85714286 0.84615385 0.91666667 0.90909091 0.9
 1.         1.         1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.95238095 0.95238095
 0.95238095 0.95238095 0.95238095 0.95238095 0.95238095 0.95238095
 0.95238095 0.95238095 0.95238095 0.9047619  0.9047619  0.85714286
 0.85714286 0.85714286 0.85714286 0.85714286 0.80952381 0.80952381
 0.80952381 0.80952381 0.76190476 0.76190476 0.71428571 0.71428571
 0.71428571 0.71428571 0.71428571 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.61904762 0.61904762 0.61904762 0.61904762
 0.61904762 0.57142857 0.52380952 0.52380952 0.47619048 0.42857143
 0.42857143 0.38095238 0.33333333 0.28571429 0.23809524 0.19047619
 0.14285714 0.0952381  0.04761905 0.        ]",0.7714082990079016,0.7878787878787878,SUN
2,"[0.         0.         0.         0.03636364 0.03636364 0.07272727
 0.07272727 0.12727273 0.12727273 0.16363636 0.16363636 0.18181818
 0.18181818 0.23636364 0.23636364 0.54545455 0.54545455 0.6
 0.6        0.81818182 0.81818182 1.        ]","[0.         0.04761905 0.47619048 0.47619048 0.57142857 0.57142857
 0.61904762 0.61904762 0.66666667 0.66666667 0.71428571 0.71428571
 0.76190476 0.76190476 0.80952381 0.80952381 0.85714286 0.85714286
 0.9047619  0.9047619  1.         1.        ]",0.8268398268398269,"[0.31818182 0.30769231 0.296875   0.3015873  0.30645161 0.31147541
 0.31666667 0.3220339  0.32758621 0.33333333 0.33928571 0.34545455
 0.35185185 0.35849057 0.36538462 0.35294118 0.36       0.36734694
 0.375      0.36170213 0.36956522 0.37777778 0.38636364 0.39534884
 0.4047619  0.41463415 0.425      0.43589744 0.44736842 0.45945946
 0.47222222 0.48571429 0.5        0.51515152 0.53125    0.5483871
 0.56666667 0.55172414 0.57142857 0.59259259 0.61538462 0.6
 0.625      0.60869565 0.63636364 0.66666667 0.65       0.68421053
 0.72222222 0.76470588 0.75       0.8        0.85714286 0.84615385
 0.83333333 0.90909091 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.        ]","[1.         0.95238095 0.9047619  0.9047619  0.9047619  0.9047619
 0.9047619  0.9047619  0.9047619  0.9047619  0.9047619  0.9047619
 0.9047619  0.9047619  0.9047619  0.85714286 0.85714286 0.85714286
 0.85714286 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381 0.80952381
 0.80952381 0.76190476 0.76190476 0.76190476 0.76190476 0.71428571
 0.71428571 0.66666667 0.66666667 0.66666667 0.61904762 0.61904762
 0.61904762 0.61904762 0.57142857 0.57142857 0.57142857 0.52380952
 0.47619048 0.47619048 0.47619048 0.42857143 0.38095238 0.33333333
 0.28571429 0.23809524 0.19047619 0.14285714 0.0952381  0.04761905
 0.        ]",0.776570441696492,0.8157894736842105,SUN
3,"[0.   0.   0.   0.02 0.02 0.04 0.04 0.22 0.22 0.24 0.24 0.32 0.32 0.62
 0.62 1.  ]","[0.     0.0625 0.3125 0.3125 0.5    0.5    0.6875 0.6875 0.75   0.75
 0.8125 0.8125 0.875  0.875  1.     1.    ]",0.8625,"[0.34042553 0.32608696 0.31111111 0.31818182 0.3255814  0.33333333
 0.34146341 0.35       0.35897436 0.36842105 0.37837838 0.38888889
 0.4        0.41176471 0.42424242 0.4375     0.4516129  0.46666667
 0.44827586 0.46428571 0.48148148 0.5        0.52       0.5
 0.52173913 0.5        0.52380952 0.55       0.57894737 0.61111111
 0.64705882 0.6875     0.73333333 0.78571429 0.84615385 0.83333333
 0.81818182 0.8        0.88888889 0.875      0.85714286 0.83333333
 1.         1.         1.         1.         1.         1.        ]","[1.     0.9375 0.875  0.875  0.875  0.875  0.875  0.875  0.875  0.875
 0.875  0.875  0.875  0.875  0.875  0.875  0.875  0.875  0.8125 0.8125
 0.8125 0.8125 0.8125 0.75   0.75   0.6875 0.6875 0.6875 0.6875 0.6875
 0.6875 0.6875 0.6875 0.6875 0.6875 0.625  0.5625 0.5    0.5    0.4375
 0.375  0.3125 0.3125 0.25   0.1875 0.125  0.0625 0.    ]",0.7683511893274266,0.8333333333333334,SUN
4,"[0.         0.         0.         0.04255319 0.04255319 0.06382979
 0.06382979 0.08510638 0.08510638 0.10638298 0.10638298 0.59574468
 0.59574468 1.        ]","[0.         0.07142857 0.14285714 0.14285714 0.42857143 0.42857143
 0.78571429 0.78571429 0.85714286 0.85714286 0.92857143 0.92857143
 1.         1.        ]",0.9088145896656535,"[0.33333333 0.31707317 0.325      0.33333333 0.34210526 0.35135135
 0.36111111 0.37142857 0.38235294 0.39393939 0.40625    0.41935484
 0.43333333 0.44827586 0.46428571 0.48148148 0.5        0.52
 0.54166667 0.56521739 0.59090909 0.61904762 0.65       0.68421053
 0.72222222 0.70588235 0.75       0.73333333 0.78571429 0.76923077
 0.75       0.72727273 0.7        0.66666667 0.75       0.71428571
 0.66666667 0.6        0.5        0.66666667 1.         1.
 1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.92857143 0.85714286 0.85714286 0.78571429 0.78571429 0.71428571
 0.64285714 0.57142857 0.5        0.42857143 0.42857143 0.35714286
 0.28571429 0.21428571 0.14285714 0.14285714 0.14285714 0.07142857
 0.        ]",0.7334804084804084,0.7868852459016393,SUN
5,"[0.         0.         0.01851852 0.01851852 0.03703704 0.03703704
 0.09259259 0.09259259 0.31481481 0.31481481 0.40740741 0.40740741
 0.48148148 0.48148148 0.5        0.5        0.61111111 0.61111111
 1.        ]","[0.   0.05 0.05 0.45 0.45 0.65 0.65 0.7  0.7  0.75 0.75 0.8  0.8  0.85
 0.85 0.9  0.9  1.   1.  ]",0.8342592592592593,"[0.37735849 0.36538462 0.35294118 0.36       0.36734694 0.375
 0.38297872 0.39130435 0.4        0.38636364 0.39534884 0.38095238
 0.3902439  0.4        0.41025641 0.42105263 0.40540541 0.41666667
 0.42857143 0.44117647 0.45454545 0.46875    0.4516129  0.46666667
 0.48275862 0.5        0.51851852 0.53846154 0.56       0.58333333
 0.60869565 0.63636364 0.66666667 0.7        0.73684211 0.72222222
 0.76470588 0.8125     0.86666667 0.85714286 0.84615385 0.83333333
 0.81818182 0.9        0.88888889 0.875      0.85714286 0.83333333
 0.8        0.75       0.66666667 0.5        1.         1.        ]","[1.   0.95 0.9  0.9  0.9  0.9  0.9  0.9  0.9  0.85 0.85 0.8  0.8  0.8
 0.8  0.8  0.75 0.75 0.75 0.75 0.75 0.75 0.7  0.7  0.7  0.7  0.7  0.7
 0.7  0.7  0.7  0.7  0.7  0.7  0.7  0.65 0.65 0.65 0.65 0.6  0.55 0.5
 0.45 0.45 0.4  0.35 0.3  0.25 0.2  0.15 0.1  0.05 0.05 0.  ]",0.7069532564665255,0.7567567567567568,SUN
6,"[0.         0.         0.         0.01754386 0.01754386 0.03508772
 0.03508772 0.07017544 0.07017544 0.15789474 0.15789474 0.49122807
 0.49122807 0.54385965 0.54385965 1.        ]","[0.         0.07692308 0.46153846 0.46153846 0.53846154 0.53846154
 0.69230769 0.69230769 0.76923077 0.76923077 0.84615385 0.84615385
 0.92307692 0.92307692 1.         1.        ]",0.8960863697705803,"[0.29545455 0.27906977 0.28571429 0.29268293 0.3        0.28205128
 0.28947368 0.2972973  0.30555556 0.31428571 0.32352941 0.33333333
 0.34375    0.35483871 0.36666667 0.37931034 0.39285714 0.40740741
 0.42307692 0.44       0.45833333 0.47826087 0.5        0.52380952
 0.55       0.52631579 0.55555556 0.58823529 0.625      0.66666667
 0.71428571 0.69230769 0.75       0.81818182 0.8        0.77777778
 0.875      0.85714286 1.         1.         1.         1.
 1.         1.         1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.92307692 0.84615385
 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385
 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385
 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385 0.84615385
 0.84615385 0.76923077 0.76923077 0.76923077 0.76923077 0.76923077
 0.76923077 0.69230769 0.69230769 0.69230769 0.61538462 0.53846154
 0.53846154 0.46153846 0.46153846 0.38461538 0.30769231 0.23076923
 0.15384615 0.07692308 0.        ]",0.7963786213786213,0.8571428571428571,SUN
7,[0.   0.02 0.02 0.04 0.04 0.32 0.32 0.34 0.34 0.52 0.52 1.  ],"[0.         0.         0.46666667 0.46666667 0.66666667 0.66666667
 0.8        0.8        0.93333333 0.93333333 1.         1.        ]",0.86,"[0.36585366 0.35       0.35897436 0.36842105 0.37837838 0.38888889
 0.4        0.41176471 0.42424242 0.4375     0.4516129  0.43333333
 0.4137931  0.42857143 0.40740741 0.38461538 0.4        0.41666667
 0.43478261 0.45454545 0.47619048 0.5        0.52631579 0.55555556
 0.58823529 0.625      0.66666667 0.71428571 0.76923077 0.83333333
 0.81818182 0.8        0.77777778 0.875      0.85714286 0.83333333
 0.8        0.75       0.66666667 0.5        0.         1.        ]","[1.         0.93333333 0.93333333 0.93333333 0.93333333 0.93333333
 0.93333333 0.93333333 0.93333333 0.93333333 0.93333333 0.86666667
 0.8        0.8        0.73333333 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.6        0.53333333 0.46666667 0.46666667 0.4        0.33333333
 0.26666667 0.2        0.13333333 0.06666667 0.         0.        ]",0.654695782648838,0.8,SUN
8,"[0.         0.         0.         0.0625     0.0625     0.22916667
 0.22916667 0.27083333 0.27083333 0.29166667 0.29166667 0.375
 0.375      0.4375     0.4375     0.5625     0.5625     0.70833333
 0.70833333 1.        ]","[0.         0.05882353 0.41176471 0.41176471 0.52941176 0.52941176
 0.58823529 0.58823529 0.64705882 0.64705882 0.70588235 0.70588235
 0.76470588 0.76470588 0.82352941 0.82352941 0.88235294 0.88235294
 1.         1.        ]",0.7818627450980391,"[0.33333333 0.32       0.30612245 0.3125     0.31914894 0.32608696
 0.33333333 0.34090909 0.34883721 0.35714286 0.34146341 0.35
 0.35897436 0.36842105 0.37837838 0.38888889 0.4        0.38235294
 0.39393939 0.40625    0.41935484 0.4        0.4137931  0.42857143
 0.44444444 0.46153846 0.44       0.45833333 0.43478261 0.45454545
 0.47619048 0.45       0.47368421 0.5        0.52941176 0.5625
 0.6        0.64285714 0.69230769 0.75       0.72727273 0.7
 0.77777778 0.875      1.         1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.94117647 0.88235294 0.88235294 0.88235294 0.88235294
 0.88235294 0.88235294 0.88235294 0.88235294 0.82352941 0.82352941
 0.82352941 0.82352941 0.82352941 0.82352941 0.82352941 0.76470588
 0.76470588 0.76470588 0.76470588 0.70588235 0.70588235 0.70588235
 0.70588235 0.70588235 0.64705882 0.64705882 0.58823529 0.58823529
 0.58823529 0.52941176 0.52941176 0.52941176 0.52941176 0.52941176
 0.52941176 0.52941176 0.52941176 0.52941176 0.47058824 0.41176471
 0.41176471 0.41176471 0.41176471 0.35294118 0.29411765 0.23529412
 0.17647059 0.11764706 0.05882353 0.        ]",0.6884215310306392,0.8,SUN
9,"[0.         0.         0.         0.01818182 0.01818182 0.03636364
 0.03636364 0.05454545 0.05454545 0.09090909 0.09090909 0.4
 0.4        0.50909091 0.50909091 0.54545455 0.54545455 0.56363636
 0.56363636 0.58181818 0.58181818 1.        ]","[0.         0.05882353 0.23529412 0.23529412 0.41176471 0.41176471
 0.52941176 0.52941176 0.58823529 0.58823529 0.64705882 0.64705882
 0.70588235 0.70588235 0.76470588 0.76470588 0.82352941 0.82352941
 0.94117647 0.94117647 1.         1.        ]",0.7978609625668449,"[0.34693878 0.33333333 0.34042553 0.32608696 0.31111111 0.31818182
 0.30232558 0.30952381 0.31707317 0.3        0.30769231 0.31578947
 0.32432432 0.33333333 0.34285714 0.35294118 0.33333333 0.34375
 0.35483871 0.36666667 0.37931034 0.39285714 0.40740741 0.42307692
 0.44       0.45833333 0.47826087 0.5        0.52380952 0.55
 0.57894737 0.61111111 0.64705882 0.6875     0.66666667 0.71428571
 0.76923077 0.75       0.81818182 0.8        0.77777778 0.875
 0.85714286 0.83333333 0.8        1.         1.         1.
 1.         1.        ]","[1.         0.94117647 0.94117647 0.88235294 0.82352941 0.82352941
 0.76470588 0.76470588 0.76470588 0.70588235 0.70588235 0.70588235
 0.70588235 0.70588235 0.70588235 0.70588235 0.64705882 0.64705882
 0.64705882 0.64705882 0.64705882 0.64705882 0.64705882 0.64705882
 0.64705882 0.64705882 0.64705882 0.64705882 0.64705882 0.64705882
 0.64705882 0.64705882 0.64705882 0.64705882 0.58823529 0.58823529
 0.58823529 0.52941176 0.52941176 0.47058824 0.41176471 0.41176471
 0.35294118 0.29411765 0.23529412 0.23529412 0.17647059 0.11764706
 0.05882353 0.        ]",0.6848256592482194,0.7916666666666666,SUN
