seed,fpr,tpr,roc_auc,precision,recall,AP,accuracy,time
0,"[0.    0.    0.025 0.025 0.05  0.05  0.075 0.075 0.275 0.275 0.45  0.45
 0.5   0.5   0.525 0.525 1.   ]","[0.     0.0625 0.0625 0.4375 0.4375 0.5    0.5    0.625  0.625  0.75
 0.75   0.8125 0.8125 0.875  0.875  1.     1.    ]",0.81875,"[0.43243243 0.41666667 0.4        0.41176471 0.39393939 0.40625
 0.41935484 0.4        0.4137931  0.42857143 0.44444444 0.46153846
 0.48       0.5        0.52173913 0.5        0.47619048 0.5
 0.52631579 0.55555556 0.58823529 0.625      0.66666667 0.71428571
 0.76923077 0.75       0.72727273 0.8        0.77777778 0.875
 0.85714286 0.83333333 0.8        0.75       0.66666667 0.5
 1.         1.        ]","[1.     0.9375 0.875  0.875  0.8125 0.8125 0.8125 0.75   0.75   0.75
 0.75   0.75   0.75   0.75   0.75   0.6875 0.625  0.625  0.625  0.625
 0.625  0.625  0.625  0.625  0.625  0.5625 0.5    0.5    0.4375 0.4375
 0.375  0.3125 0.25   0.1875 0.125  0.0625 0.0625 0.    ]",0.6752082125312212,0.7321428571428571,proximal
1,"[0.         0.         0.         0.0212766  0.0212766  0.06382979
 0.06382979 0.08510638 0.08510638 0.10638298 0.10638298 0.19148936
 0.19148936 0.27659574 0.27659574 0.40425532 0.40425532 0.72340426
 0.72340426 1.        ]","[0.         0.05882353 0.35294118 0.35294118 0.41176471 0.41176471
 0.52941176 0.52941176 0.64705882 0.64705882 0.70588235 0.70588235
 0.76470588 0.76470588 0.82352941 0.82352941 0.94117647 0.94117647
 1.         1.        ]",0.8573216520650814,"[0.33333333 0.32       0.32653061 0.33333333 0.34042553 0.34782609
 0.35555556 0.36363636 0.37209302 0.38095238 0.3902439  0.4
 0.41025641 0.42105263 0.43243243 0.44444444 0.45714286 0.44117647
 0.42424242 0.4375     0.4516129  0.46666667 0.48275862 0.5
 0.51851852 0.5        0.52       0.54166667 0.56521739 0.59090909
 0.57142857 0.6        0.63157895 0.66666667 0.70588235 0.6875
 0.73333333 0.71428571 0.69230769 0.75       0.72727273 0.7
 0.77777778 0.875      0.85714286 1.         1.         1.
 1.         1.         1.         1.        ]","[1.         0.94117647 0.94117647 0.94117647 0.94117647 0.94117647
 0.94117647 0.94117647 0.94117647 0.94117647 0.94117647 0.94117647
 0.94117647 0.94117647 0.94117647 0.94117647 0.94117647 0.88235294
 0.82352941 0.82352941 0.82352941 0.82352941 0.82352941 0.82352941
 0.82352941 0.76470588 0.76470588 0.76470588 0.76470588 0.76470588
 0.70588235 0.70588235 0.70588235 0.70588235 0.70588235 0.64705882
 0.64705882 0.58823529 0.52941176 0.52941176 0.47058824 0.41176471
 0.41176471 0.41176471 0.35294118 0.35294118 0.29411765 0.23529412
 0.17647059 0.11764706 0.05882353 0.        ]",0.7556973175485286,0.8125,proximal
2,"[0.         0.         0.         0.06521739 0.06521739 0.54347826
 0.54347826 0.58695652 0.58695652 0.84782609 0.84782609 1.        ]","[0.         0.09090909 0.63636364 0.63636364 0.72727273 0.72727273
 0.81818182 0.81818182 0.90909091 0.90909091 1.         1.        ]",0.8142292490118577,"[0.22       0.20408163 0.20833333 0.21276596 0.2173913  0.22222222
 0.22727273 0.23255814 0.23809524 0.24390244 0.25       0.25641026
 0.26315789 0.27027027 0.25       0.25714286 0.26470588 0.24242424
 0.25       0.25806452 0.26666667 0.27586207 0.28571429 0.2962963
 0.30769231 0.32       0.33333333 0.34782609 0.36363636 0.38095238
 0.4        0.42105263 0.44444444 0.47058824 0.5        0.53333333
 0.57142857 0.61538462 0.66666667 0.72727273 0.7        0.77777778
 0.875      1.         1.         1.         1.         1.
 1.         1.         1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.90909091 0.90909091 0.81818182 0.81818182 0.81818182 0.72727273
 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273
 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273
 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273 0.72727273
 0.72727273 0.72727273 0.72727273 0.72727273 0.63636364 0.63636364
 0.63636364 0.63636364 0.54545455 0.45454545 0.36363636 0.27272727
 0.18181818 0.09090909 0.        ]",0.7711135345359945,0.8771929824561403,proximal
3,"[0.         0.         0.         0.02857143 0.02857143 0.05714286
 0.05714286 0.2        0.2        0.37142857 0.37142857 0.48571429
 0.48571429 0.54285714 0.54285714 1.        ]","[0.         0.07692308 0.38461538 0.38461538 0.46153846 0.46153846
 0.61538462 0.61538462 0.69230769 0.69230769 0.84615385 0.84615385
 0.92307692 0.92307692 1.         1.        ]",0.8373626373626374,"[0.40625    0.38709677 0.4        0.4137931  0.39285714 0.40740741
 0.42307692 0.44       0.45833333 0.43478261 0.40909091 0.42857143
 0.45       0.47368421 0.5        0.52941176 0.5625     0.53333333
 0.57142857 0.61538462 0.66666667 0.72727273 0.8        0.77777778
 0.75       0.85714286 0.83333333 1.         1.         1.
 1.         1.         1.        ]","[1.         0.92307692 0.92307692 0.92307692 0.84615385 0.84615385
 0.84615385 0.84615385 0.84615385 0.76923077 0.69230769 0.69230769
 0.69230769 0.69230769 0.69230769 0.69230769 0.69230769 0.61538462
 0.61538462 0.61538462 0.61538462 0.61538462 0.61538462 0.53846154
 0.46153846 0.46153846 0.38461538 0.38461538 0.30769231 0.23076923
 0.15384615 0.07692308 0.        ]",0.7469676677229151,0.8125,proximal
4,"[0.         0.02439024 0.02439024 0.12195122 0.12195122 0.14634146
 0.14634146 0.17073171 0.17073171 0.43902439 0.43902439 1.        ]","[0.         0.         0.42857143 0.42857143 0.57142857 0.57142857
 0.71428571 0.71428571 0.85714286 0.85714286 1.         1.        ]",0.8641114982578397,"[0.28       0.25       0.26086957 0.27272727 0.28571429 0.3
 0.31578947 0.33333333 0.35294118 0.375      0.4        0.42857143
 0.46153846 0.41666667 0.45454545 0.4        0.44444444 0.375
 0.42857143 0.5        0.6        0.75       0.66666667 0.5
 0.         1.        ]","[1.         0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.85714286 0.71428571 0.71428571 0.57142857 0.57142857 0.42857143
 0.42857143 0.42857143 0.42857143 0.42857143 0.28571429 0.14285714
 0.         0.        ]",0.5081707181707181,0.8333333333333334,proximal
5,"[0.         0.         0.         0.02083333 0.02083333 0.08333333
 0.08333333 0.125      0.125      0.22916667 0.22916667 0.29166667
 0.29166667 0.375      0.375      0.47916667 0.47916667 1.        ]","[0.     0.0625 0.1875 0.1875 0.5625 0.5625 0.625  0.625  0.6875 0.6875
 0.75   0.75   0.875  0.875  0.9375 0.9375 1.     1.    ]",0.875,"[0.41025641 0.39473684 0.40540541 0.41666667 0.42857143 0.44117647
 0.45454545 0.4375     0.4516129  0.46666667 0.48275862 0.5
 0.48148148 0.46153846 0.48       0.5        0.52173913 0.5
 0.52380952 0.55       0.57894737 0.61111111 0.64705882 0.625
 0.66666667 0.71428571 0.69230769 0.75       0.81818182 0.9
 0.88888889 0.875      0.85714286 0.83333333 0.8        0.75
 1.         1.         1.         1.        ]","[1.     0.9375 0.9375 0.9375 0.9375 0.9375 0.9375 0.875  0.875  0.875
 0.875  0.875  0.8125 0.75   0.75   0.75   0.75   0.6875 0.6875 0.6875
 0.6875 0.6875 0.6875 0.625  0.625  0.625  0.5625 0.5625 0.5625 0.5625
 0.5    0.4375 0.375  0.3125 0.25   0.1875 0.1875 0.125  0.0625 0.    ]",0.7427332558686459,0.78125,proximal
6,"[0.         0.         0.         0.02439024 0.02439024 0.04878049
 0.04878049 0.07317073 0.07317073 0.17073171 0.17073171 1.        ]","[0.         0.09090909 0.63636364 0.63636364 0.72727273 0.72727273
 0.81818182 0.81818182 0.90909091 0.90909091 1.         1.        ]",0.9711751662971175,"[0.61111111 0.58823529 0.625      0.66666667 0.71428571 0.76923077
 0.75       0.81818182 0.8        0.88888889 0.875      1.
 1.         1.         1.         1.         1.         1.
 1.        ]","[1.         0.90909091 0.90909091 0.90909091 0.90909091 0.90909091
 0.81818182 0.81818182 0.72727273 0.72727273 0.63636364 0.63636364
 0.54545455 0.45454545 0.36363636 0.27272727 0.18181818 0.09090909
 0.        ]",0.9170375079465989,0.8653846153846154,proximal
7,"[0.         0.         0.02173913 0.02173913 0.13043478 0.13043478
 0.19565217 0.19565217 0.26086957 0.26086957 0.36956522 0.36956522
 0.43478261 0.43478261 0.54347826 0.54347826 0.67391304 0.67391304
 0.69565217 0.69565217 0.7826087  0.7826087  1.        ]","[0.         0.07142857 0.07142857 0.35714286 0.35714286 0.42857143
 0.42857143 0.5        0.5        0.57142857 0.57142857 0.64285714
 0.64285714 0.71428571 0.71428571 0.78571429 0.78571429 0.85714286
 0.85714286 0.92857143 0.92857143 1.         1.        ]",0.7018633540372671,"[0.28       0.26530612 0.27083333 0.27659574 0.2826087  0.28888889
 0.27272727 0.27906977 0.26190476 0.26829268 0.275      0.28205128
 0.28947368 0.2972973  0.30555556 0.28571429 0.29411765 0.3030303
 0.3125     0.32258065 0.33333333 0.31034483 0.32142857 0.33333333
 0.34615385 0.32       0.33333333 0.34782609 0.36363636 0.38095238
 0.4        0.36842105 0.38888889 0.41176471 0.4375     0.4
 0.42857143 0.46153846 0.5        0.45454545 0.5        0.55555556
 0.625      0.71428571 0.83333333 0.8        0.75       0.66666667
 0.5        1.         1.        ]","[1.         0.92857143 0.92857143 0.92857143 0.92857143 0.92857143
 0.85714286 0.85714286 0.78571429 0.78571429 0.78571429 0.78571429
 0.78571429 0.78571429 0.78571429 0.71428571 0.71428571 0.71428571
 0.71428571 0.71428571 0.71428571 0.64285714 0.64285714 0.64285714
 0.64285714 0.57142857 0.57142857 0.57142857 0.57142857 0.57142857
 0.57142857 0.5        0.5        0.5        0.5        0.42857143
 0.42857143 0.42857143 0.42857143 0.35714286 0.35714286 0.35714286
 0.35714286 0.35714286 0.35714286 0.28571429 0.21428571 0.14285714
 0.07142857 0.07142857 0.        ]",0.5157500993838203,0.8,proximal
8,"[0.         0.         0.         0.02564103 0.02564103 0.05128205
 0.05128205 0.07692308 0.07692308 0.25641026 0.25641026 0.28205128
 0.28205128 0.30769231 0.30769231 1.        ]","[0.         0.07692308 0.38461538 0.38461538 0.46153846 0.46153846
 0.53846154 0.53846154 0.69230769 0.69230769 0.84615385 0.84615385
 0.92307692 0.92307692 1.         1.        ]",0.8974358974358975,"[0.52       0.5        0.52173913 0.5        0.52380952 0.5
 0.47368421 0.5        0.52941176 0.5625     0.6        0.64285714
 0.69230769 0.75       0.72727273 0.7        0.77777778 0.75
 0.85714286 0.83333333 1.         1.         1.         1.
 1.         1.        ]","[1.         0.92307692 0.92307692 0.84615385 0.84615385 0.76923077
 0.69230769 0.69230769 0.69230769 0.69230769 0.69230769 0.69230769
 0.69230769 0.69230769 0.61538462 0.53846154 0.53846154 0.46153846
 0.46153846 0.38461538 0.38461538 0.30769231 0.23076923 0.15384615
 0.07692308 0.        ]",0.7829032320336669,0.8461538461538461,proximal
9,"[0.         0.         0.         0.04761905 0.04761905 0.07142857
 0.07142857 0.11904762 0.11904762 0.21428571 0.21428571 0.38095238
 0.38095238 0.42857143 0.42857143 0.52380952 0.52380952 0.57142857
 0.57142857 0.5952381  0.5952381  0.64285714 0.64285714 1.        ]","[0.         0.04761905 0.47619048 0.47619048 0.52380952 0.52380952
 0.57142857 0.57142857 0.61904762 0.61904762 0.66666667 0.66666667
 0.71428571 0.71428571 0.76190476 0.76190476 0.80952381 0.80952381
 0.85714286 0.85714286 0.95238095 0.95238095 1.         1.        ]",0.8004535147392291,"[0.4375     0.42553191 0.43478261 0.44444444 0.43181818 0.41860465
 0.42857143 0.41463415 0.425      0.43589744 0.42105263 0.43243243
 0.44444444 0.45714286 0.47058824 0.45454545 0.46875    0.48387097
 0.46666667 0.48275862 0.5        0.51851852 0.53846154 0.56
 0.58333333 0.60869565 0.59090909 0.61904762 0.65       0.68421053
 0.72222222 0.70588235 0.75       0.8        0.78571429 0.84615385
 0.83333333 0.90909091 1.         1.         1.         1.
 1.         1.         1.         1.         1.         1.
 1.        ]","[1.         0.95238095 0.95238095 0.95238095 0.9047619  0.85714286
 0.85714286 0.80952381 0.80952381 0.80952381 0.76190476 0.76190476
 0.76190476 0.76190476 0.76190476 0.71428571 0.71428571 0.71428571
 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667 0.66666667
 0.66666667 0.66666667 0.61904762 0.61904762 0.61904762 0.61904762
 0.61904762 0.57142857 0.57142857 0.57142857 0.52380952 0.52380952
 0.47619048 0.47619048 0.47619048 0.42857143 0.38095238 0.33333333
 0.28571429 0.23809524 0.19047619 0.14285714 0.0952381  0.04761905
 0.        ]",0.7671315435389296,0.7142857142857143,proximal
