	metab	Spearman_bulk	Spearman_matched	p_bulk	p_matched	q_bulk	q_matched	hmdb	metab_ids
0	isoleucyltyrosine		0.19164436190809755	0.0	0.0687885995312388	0.0	0.4033085013612357	HMDB28919	HMDB28919
1	omeprazole		-0.20252322443265833	0.0	0.07345831016778241	0.0	0.41605644877198716	HMDB01913	HMDB01913
2	kynurenine	-0.29401301473144575	-0.2313961112842102	5.887095965565976e-05	0.0027858056925077865	0.008398923577540792	0.12550787751508766	HMDB00684	HMDB00684
3	dimethylarginine (SDMA + ADMA)	-0.2610578726889973	-0.18056148059219918	0.00038582311006531676	0.020295978178842614	0.03677214223949665	0.22817475043687324	HMDB01539	HMDB01539
4	3-ureidopropionate	-0.25904226017866677	-0.1959867276476843	0.0004295811009286992	0.011640064389771975	0.03677214223949665	0.17905908159956618	HMDB00026	HMDB00026
5	biliverdin	0.2547611460159327	0.30778730093769174	0.0005381715672931966	5.7801220041003855e-05	0.038389571800248025	0.04909200674796468	HMDB01008	HMDB01008
6	4-imidazoleacetate	-0.25236950063030783	-0.19016393453560157	0.0006093673707758501	0.014425204540248268	0.0401244976449329	0.20095717994000117	HMDB02024	HMDB02024
7	N6-carbamoylthreonyladenosine	-0.24838455443530646	-0.1708639661036236	0.0007475603118650716	0.02821644870970131	0.045707973354035814	0.2723835838060283	HMDB41623	HMDB41623
8	lactate	-0.24273762853516362	-0.21754940483096594	0.0009931552268379548	0.005001653134062962	0.05593488757775216	0.13811016395993211	HMDB00190	HMDB00190
9	3-hydroxydecanoate	0.24170239178370895	0.2957828946275207	0.0010455119173411619	0.00011470095034571186	0.05593488757775216	0.04909200674796468	HMDB02203	HMDB02203
10	2-aminobutyrate	0.23797946780777085	0.23552120339235624	0.001255422798904705	0.0023246219926781496	0.05970232865902375	0.12436727660828101	HMDB00650	HMDB00650
11	N-acetylneuraminate	-0.23963362691083337	-0.20167423991295444	0.001595342853874253	0.010547893831101916	0.06588701055997931	0.17035843621553282	HMDB00230	HMDB00230
12	allantoin	-0.23274132909086545	-0.1161010587984024	0.0016163869413079036	0.13753477272882272	0.06588701055997931	0.5279361679635527	HMDB00462	HMDB00462
13	2-aminooctanoate	0.23012711720230605	0.23628838215833078	0.0018299232860438613	0.002246917675309017	0.07120065149334297	0.12436727660828101	HMDB00991	HMDB00991
14	asparaginylisoleucine	-0.31463641514638047	-0.2304569538646564	0.0022536037477302326	0.02797038080427207	0.07716339232228317	0.2723835838060283	HMDB28734	HMDB28734
15	glutarate (C5-DC)	0.3350620052137239	0.2903181624029055	0.002541197322494197	0.009447200976571514	0.08056536696500122	0.17035843621553282	HMDB00661	HMDB00661
16	N-acetylthreonine	-0.22167773800821974	-0.16509874487101192	0.0027076829266808183	0.034075751696701156	0.08277773518709931	0.2850205155646484	HMDB62557	HMDB62557
17	N1-methylinosine	-0.2195917290577369	-0.18947574974378495	0.0029762865889780485	0.014790072822687001	0.08478956302431487	0.20095717994000117	HMDB02721	HMDB02721
18	N6-acetyllysine	-0.21908580620189236	-0.17096438217246843	0.0030449618186038975	0.028122541772559913	0.08478956302431487	0.2723835838060283	HMDB00206	HMDB00206
19	glycerol	0.21889921266959225	0.24054736235826985	0.0030706500627964493	0.0018568297988015739	0.08478956302431487	0.11647680601865498	HMDB00131	HMDB00131
20	N-acetylphenylalanine	-0.21628462519249161	-0.13200696410342486	0.0034517993047103192	0.09099468214957361	0.09068599197183089	0.4528806865329049	HMDB00512	HMDB00512
21	glycerophosphorylcholine (GPC)	-0.21518016485751784	-0.19295416236857016	0.0036252561976356703	0.01302523590195175	0.09068599197183089	0.1951825427250497	HMDB00086	HMDB00086
22	N-acetylglycine	0.2147802646907045	0.22268401315123204	0.0036899739859734015	0.00404193807225969	0.09068599197183089	0.13811016395993211	HMDB00532	HMDB00532
23	3-hydroxyoctanoate	0.21467027848959463	0.26091977440551073	0.003707955279222057	0.0007119802278766182	0.09068599197183089	0.07741831068092145	HMDB01954	HMDB01954
24	N-palmitoylglycine	0.21110678825841714	0.23319021171423798	0.004335006191835844	0.0025759092718652798	0.1030768138947634	0.12449720433452793	HMDB13034	HMDB13034
25	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	0.20922195677656677	0.2575203557548834	0.0047038502055024274	0.0008400105070682253	0.10882421015973184	0.07741831068092145	HMDB61112	HMDB61112
26	cortisol	-0.20576131010212903	0.006496250213802093	0.005455091559404854	0.9340007595819063	0.11861286017799792	0.994390064894175	HMDB00063	HMDB00063
27	phenyllactate (PLA)	-0.205386183882903	-0.18411754831022437	0.005542657017663454	0.017917041865690212	0.11861286017799792	0.2245789602118417	HMDB00779	HMDB00779
28	margarate (17:0)	0.20280093106157315	0.24366963265888536	0.006181111540576918	0.0016111804195098056	0.129049548261801	0.1149308699250328	HMDB02259	HMDB02259
29	aspartylleucine	-0.20108152933743179	-0.16323100599049792	0.006641318790793386	0.03618241824006426	0.13535640202188426	0.2894593459205141	HMDB28757	HMDB28757
30	glycylproline	-0.20577010386032107	-0.09185631510745619	0.006933672453165635	0.24799433941295096	0.13802845627697172	0.658142389038571	HMDB00721	HMDB00721
31	palmitate (16:0)	0.1994426898179937	0.2270019041115601	0.007108146443108349	0.003366772985031654	0.13828575807501697	0.1372360797708141	HMDB00220	HMDB00220
32	androsterone glucuronide	0.1954590637826565	0.21016012104490378	0.008366801931478738	0.006741329486814594	0.15569527072490869	0.15689197090254758	HMDB02829	HMDB02829
33	12,13-DiHOME	0.19949523449378975	0.18475071229261333	0.008897857952411705	0.019346862959004785	0.1587675415557138	0.2268618451083301	HMDB04705	HMDB04705
34	xylitol	-0.19392236279654354	-0.12178728605685611	0.008902852797516661	0.11916228013752808	0.1587675415557138	0.504964909889723	HMDB02917	HMDB02917
35	N-acetylmethionine	-0.19134991400913964	-0.20429314486252934	0.00986850707402225	0.008486838791519605	0.17239677664006217	0.1703440595443029	HMDB11745	HMDB11745
36	3-hydroxypropanoate	-0.18731959564011993	-0.19254044816492943	0.011567876211382805	0.013224985371557104	0.19804204073887363	0.1951825427250497	HMDB00700	HMDB00700
37	cytidine	-0.18618935715069287	-0.1521722561279263	0.012088482302842787	0.05103246750136788	0.19987461825786132	0.3334640624516863	HMDB00089	HMDB00089
38	mannitol	-0.18605556445956756	-0.19982797700122887	0.012151452235253489	0.010072481172312658	0.19987461825786132	0.17035843621553282	HMDB00765	HMDB00765
39	linoleate (18:2n6)	0.18540740544035453	0.232820680580889	0.012460608046500366	0.00261793186684755	0.19987461825786132	0.12449720433452793	HMDB00673	HMDB00673
40	gamma-glutamylglutamate	-0.25916634557220053	-0.09404466116684097	0.012608912834023961	0.3752434373955441	0.19987461825786132	0.7835367566723267	HMDB11737	HMDB11737
41	serylproline	-0.2571683699737053	-0.1758117408195797	0.01333406923803326	0.09552157089073365	0.2075266048682995	0.464582185695841	HMDB29047	HMDB29047
42	10-undecenoate (11:1n1)	0.18285442861168621	0.2150443586335167	0.01374650264088541	0.0055401746039424014	0.2092373598548405	0.14819967065545925	HMDB33724	HMDB33724
43	nonadecanoate (19:0)	0.18229533074499454	0.23997967684906707	0.014043146096038643	0.0019049944909593102	0.2092373598548405	0.11647680601865498	HMDB00772	HMDB00772
44	bilirubin (E,Z or Z,E)*	0.2549605176809544	0.1866329904382729	0.014177297747173771	0.07650208188239521	0.2092373598548405	0.41740573069821235	HMDB00488	HMDB00488
45	oleate (18:1n9)	0.18155155808386025	0.21774220368314803	0.014446448593978568	0.004962217701588878	0.2095959321431467	0.13811016395993211	HMDB00207	HMDB00207
46	eicosapentaenoate (EPA; 20:5n3)	0.180904273133321	0.21310432018343442	0.01480563750674049	0.005992246644208702	0.21122709509616433	0.15086362139537202	HMDB01999	HMDB01999
47	7-alpha-hydroxy-3-oxo-4-cholestenoate (7-Hoca)	-0.17872327195503745	-0.16622340484207412	0.016073982477202493	0.03285804244524591	0.2255627704997596	0.2850205155646484	HMDB12458	HMDB12458
48	hexanoylcarnitine (C6)	0.17760641742016295	0.25890743638586017	0.01675940715336615	0.0007854093399365528	0.22710176618244957	0.07741831068092145	HMDB00705	HMDB00705
49	stearate (18:0)	0.17756433918185063	0.20475238101737972	0.016785720933390664	0.008337025446456321	0.22710176618244957	0.1703440595443029	HMDB00827	HMDB00827
50	cinnamoylglycine	0.17725611130197996	0.17949840914336176	0.016979571303360714	0.021058183743589937	0.22710176618244957	0.22817475043687324	HMDB11621	HMDB11621
51	dihomo-linoleate (20:2n6)	0.17663544207124096	0.18111711617314058	0.017375840257104633	0.019907170859372197	0.22840377208165652	0.22817475043687324	HMDB05060	HMDB05060
52	5,6-dihydrothymine	-0.1760153730372727	-0.14910982894907776	0.01777973151932368	0.05594171509471092	0.22840377208165652	0.3525247316029221	HMDB00079	HMDB00079
53	N2,N2-dimethylguanosine	-0.17539896990888923	-0.10044284646319723	0.01818929530937684	0.19926375523396758	0.22840377208165652	0.6168799371253234	HMDB04824	HMDB04824
54	xanthurenate	0.1798401677321228	0.15158817172948247	0.0185881293044771	0.05568481173491889	0.22840377208165652	0.3525247316029221	HMDB00881	HMDB00881
55	linolenate [alpha or gamma; (18:3n3 or 6)]	0.17433867499041894	0.14169376754465696	0.018912979015160238	0.06945889146678375	0.22840377208165652	0.4044681026909312	HMDB03073	HMDB03073
56	erythritol	-0.17431855743633257	-0.1602881457328852	0.018926947806205973	0.03972445895877808	0.22840377208165652	0.30360836489923254	HMDB02994	HMDB02994
57	2-hydroxyglutarate	-0.17396651941950073	-0.09685464560314166	0.019172840314450264	0.21587403002443398	0.22840377208165652	0.6324479484190718	HMDB00606	HMDB00606
58	threonine	0.1728816572989357	0.18213734343260415	0.019948090932387256	0.01921001917015233	0.22840377208165652	0.2268618451083301	HMDB00167	HMDB00167
59	2'-deoxyuridine	-0.1759827640112387	-0.10906615956676716	0.02131301687519267	0.16979213155657635	0.22840377208165652	0.5700764451301407	HMDB00012	HMDB00012
60	pseudouridine	-0.1709633712980046	-0.08562946798720665	0.021385432139233843	0.274139936466031	0.22840377208165652	0.7033318396600372	HMDB00767	HMDB00767
61	3-hydroxysebacate	0.17574449700860748	0.14764992312804806	0.021492091809213902	0.06243103509021011	0.22840377208165652	0.37371304921132764	HMDB00350	HMDB00350
62	10-nonadecenoate (19:1n9)	0.17079095909921613	0.1620835850438309	0.02151889248327067	0.03753038152172621	0.22840377208165652	0.29473400534493244	HMDB13622	HMDB13622
63	myristate (14:0)	0.16961280865995157	0.1317914042756379	0.022450261125709498	0.09152845650723429	0.22840377208165652	0.4528806865329049	HMDB00806	HMDB00806
64	docosapentaenoate (n3 DPA; 22:5n3)	0.16900145329599442	0.21830453366867913	0.02294710794278325	0.004848784013972734	0.22840377208165652	0.13811016395993211	HMDB06528	HMDB06528
65	imidazole propionate	-0.17329245446001557	-0.07847131023463197	0.023411685951482797	0.3239704452805441	0.2303494617755089	0.7414938533693736	HMDB02271	HMDB02271
66	palmitoleate (16:1n7)	0.16762044972695597	0.16367015893157935	0.02410441929389344	0.035677444628851834	0.23072021040497037	0.28811219436129404	HMDB03229	HMDB03229
67	cis-vaccenate (18:1n7)	0.16758256951056288	0.14106181575139343	0.02413685829354116	0.07072418993680767	0.23072021040497037	0.4090534228777525	HMDB03231	HMDB03231
68	tryptophylglutamate	-0.17216253694502567	-0.1237211768475779	0.02434476767048517	0.11907046717778214	0.23072021040497037	0.504964909889723	HMDB29082	HMDB29082
69	myristoleate (14:1n5)	0.16552704462600173	0.1596628883442113	0.02595430832382734	0.04051343179765761	0.2414879122303935	0.3042061194631133	HMDB02000	HMDB02000
70	5,6-dihydrouracil	-0.1634776871501029	-0.12095182436406707	0.027881863328563246	0.12173549083321485	0.2530956168156102	0.5108116674178035	HMDB00076	HMDB00076
71	taurine	-0.16326485985179237	-0.16768010728078322	0.02808888270733992	0.031335858323336206	0.2530956168156102	0.2794114033830812	HMDB00251	HMDB00251
72	aspartylphenylalanine	-0.16699658233471712	-0.11449736975830296	0.02902842776097899	0.14939269981531328	0.2555208412338846	0.5366227162998676	HMDB00706	HMDB00706
73	arachidate (20:0)	0.1621599361003632	0.1988251551936984	0.029184890736662913	0.010462634054808082	0.2555208412338846	0.17035843621553282	HMDB02212	HMDB02212
74	glutamine	0.16181274557614575	0.1455002059943353	0.029536728147071513	0.06222189321591842	0.2555208412338846	0.37371304921132764	HMDB00641	HMDB00641
75	glycochenodeoxycholate sulfate	-0.21557704335543845	-0.06244557282525733	0.029552059909059084	0.5350177875548964	0.2555208412338846	0.8495517006351706	HMDB02497	HMDB02497
76	stearidonate (18:4n3)	0.16042082452700354	0.1686989956593289	0.03098382825675288	0.03030715622668647	0.2588334927909249	0.2759885715962087	HMDB06547	HMDB06547
77	eicosenoate (20:1)	0.16019320781890026	0.15510667658049151	0.031226117682500346	0.04666915192352742	0.2588334927909249	0.32020797131192463	HMDB02231	HMDB02231
78	1-oleoylglycerol (18:1)	0.16013603949534114	0.1360798398557715	0.03128722388843032	0.0813677057521941	0.2588334927909249	0.4305749554401605	HMDB11567	HMDB11567
79	2-oleoylglycerol (18:1)	0.213189463780083	0.17691465604954973	0.03144705987179461	0.07675581471601796	0.2588334927909249	0.41740573069821235	HMDB11537	HMDB11537
80	erythronate*	-0.15913706961016968	-0.15658212335205168	0.03237153788916813	0.04459556707995414	0.2639051088869325	0.3162791432219332	HMDB00613	HMDB00613
81	propionylglycine	0.16210201204625693	0.14239784449730364	0.03415461781008229	0.07245504370954711	0.27581464948519285	0.41463037750506593	HMDB00783	HMDB00783
82	10-heptadecenoate (17:1n7)	0.15695183870595453	0.1898077922114319	0.03485516146028669	0.014613033478501137	0.2771156305470016	0.20095717994000117	HMDB60038	HMDB60038
83	phenylalanylglycine	-0.16138783100915674	-0.07048313627791769	0.03496318703163104	0.37580038539148697	0.2771156305470016	0.7835367566723267	HMDB28995	HMDB28995
84	4-ethylphenylsulfate	0.1552071454199522	0.1995039678190895	0.036952218969197266	0.010197111144953227	0.287555449433026	0.17035843621553282	HMDB62551	HMDB62551
85	tigloylglycine	0.2333491696949452	0.22763073464688785	0.03848421636243865	0.04363841826813643	0.294129367912924	0.3162791432219332	HMDB00959	HMDB00959
86	sorbitol	-0.15324790905932112	-0.13069753856568814	0.03943316967931216	0.09427564989913063	0.29632306117208596	0.46256467524624917	HMDB00247	HMDB00247
87	isovalerylglycine	0.23061625017713996	0.16230107126742688	0.0408804071964906	0.1529857236261084	0.29632306117208596	0.5393608504849977	HMDB00678	HMDB00678
