	metabolite	logFC	statistic	P.Value	q	hmdb	metab_ids
0	histidine	-0.8864467629918469	4.5013578820460465	6.75207054470624e-06	0.0034705642599790073	HMDB00177	HMDB00177
1	2-hydroxydecanoate	-0.7036322490545389	3.956929310277385	7.591938504524668e-05	0.009192362939313456		M.27710
2	citrate	-0.8574286714132785	3.951316644589048	7.772240795323087e-05	0.009192362939313456	HMDB00094	HMDB00094
3	3-ureidopropionate	0.5264351033979635	-3.631394700353855	0.00028189367320888736	0.016099260892152013	HMDB00026	HMDB00026
4	tryptophan	-0.7180532528326858	3.6033313719121716	0.00031416459182427873	0.016148060019767926	HMDB00929	HMDB00929
5	cortisol	0.49931475841718725	-3.5247540522754575	0.0004238761430757605	0.019806576140085536	HMDB00063	HMDB00063
6	threonine	-0.7040736046051518	3.4854653924571006	0.0004912817677575671	0.020564405165761315	HMDB00167	HMDB00167
7	N-acetylmethionine	0.4941522157634579	-3.6979611350373647	0.0005201114146982434	0.020564405165761315	HMDB11745	HMDB11745
8	cytidine	0.637875052420404	-3.4209197370412285	0.0006240974795903514	0.02291329317924576	HMDB00089	HMDB00089
9	glutamine	-0.6754171161133249	3.378824744378703	0.0007279639889867586	0.024865037712511855	HMDB00641	HMDB00641
10	androsterone glucuronide	-0.6375561182671236	3.356374081625356	0.000789716726834692	0.024865037712511855	HMDB02829	HMDB02829
11	lactate	0.4617229140314904	-3.3451487502486827	0.000822384515783466	0.024865037712511855	HMDB00190	HMDB00190
12	3-hydroxyoctanoate	-0.6757020579280536	3.2244764379494435	0.0012620324149717629	0.03412710075239893	HMDB01954	HMDB01954
13	nonadecanoate (19:0)	-0.6005239517205204	3.2020257751960965	0.0013646478693387534	0.03412710075239893	HMDB00772	HMDB00772
14	2-hydroxyglutarate	0.4203601371509584	-3.3462837838376176	0.0014286580111453825	0.03412710075239893	HMDB00606	HMDB00606
15	phenylalanyltryptophan	-0.6452665575243407	3.182381445286918	0.0014606930283127947	0.03412710075239893	HMDB29006	HMDB29006
16	linoleate (18:2n6)	-0.6087317415353712	3.1150294570268775	0.001839265410782716	0.041103583527926785	HMDB00673	HMDB00673
17	margarate (17:0)	-0.5896192936239614	3.064515465831847	0.002180229014198241	0.04482550853191584	HMDB02259	HMDB02259
18	methionine	-0.5550814402675471	3.0364521373901634	0.002393801100108023	0.04732360636367399	HMDB00696	HMDB00696
19	glutamate	0.4146660026721813	-2.9354241550001023	0.003330920298041137	0.059359537056067904	HMDB00148	HMDB00148
20	N-acetylphenylalanine	0.4143909572300002	-2.9298114893117657	0.0033916769170273015	0.059359537056067904	HMDB00512	HMDB00512
21	5-methyluridine (ribothymidine)	-0.5005972150549945	2.9185861579350925	0.003516226905004958	0.059359537056067904	HMDB00884	HMDB00884
22	valylleucine	-0.533810789152996	2.912973492246756	0.003580049900268687	0.059359537056067904	HMDB29131	HMDB29131
23	pyruvate	0.5093903315542939	-2.8961354951817455	0.0037778924342026328	0.05938445070679951	HMDB00243	HMDB00243
24	guaiacol sulfate	-0.48582560431791905	3.0296883946798583	0.003812620376117478	0.05938445070679951	HMDB60013	HMDB60013
25	allantoin	0.39447878513665974	-2.83720250545421	0.004551073663670601	0.06880152538607909	HMDB00462	HMDB00462
26	androsterone sulfate	-0.574931841208579	2.7951075127916845	0.005188245780158534	0.07268870793833919	HMDB02759	HMDB02759
27	xylose	0.5062844069636407	-2.789494847103348	0.0052790336497650315	0.07268870793833919	HMDB00098	HMDB00098
28	N6-carbamoylthreonyladenosine	0.40464280887472337	-2.783882181415011	0.005371254121580114	0.07268870793833919	HMDB41623	HMDB41623
29	3-hydroxydecanoate	-0.5806312608898947	2.7782695157266746	0.005464926850668793	0.07268870793833919	HMDB02203	HMDB02203
30	indolepropionate	-0.524541169267236	2.9126554410915633	0.005538066927602423	0.07268870793833919	HMDB02302	HMDB02302
31	inosine	0.41263880851192186	-2.767044184350001	0.0056567087889758125	0.07268870793833919	HMDB00195	HMDB00195
32	1-linoleoyl-GPE (18:2)*	-0.5641476583281236	2.671628867648277	0.007548408247941563	0.08905993738646345	HMDB11507	HMDB11507
33	dodecadienoate (12:2)*	-0.5252893337829405	2.660403536271603	0.007804708022310864	0.08905993738646345	HMDB00623	HMDB00623
